"event_id","name_tr","name_en","date_ce","date_hijri","lat","lon","location_tr","dynasty_id","category","significance","description","narrative_tr","narrative_en","significance_detail_tr","causes_event_id","caused_by_event_id","related_battle_ids","related_scholar_ids"
"11","Bağdat'ın Kuruluşu","Foundation of Baghdad","762","145","33.31","44.37","Bağdat (Medinetü's-Selam)","3","Mimari","Kritik","Mansûr tarafından 'Yuvarlak Şehir' olarak inşa edildi","762'de Abbâsî halifesi Mansûr, Bağdat'ı 'Yuvarlak Şehir' (Medînetü's-Selâm) olarak inşa ettirdi. Dicle kıyısında kurulan bu planlı şehir, kadim Mezopotamya ticaret yollarının kavşağında konumlanıyordu. Daire planıyla tasarlanan şehrin merkezinde halifenin sarayı ve büyük cami yer alıyordu. Bağdat kısa sürede dünyanın en büyük ve en kozmopolit şehri haline gelerek Arap, Fars, Türk, Hint ve Yunan entelektüel geleneklerinin buluşma noktası oldu.","In 762, Abbasid caliph al-Mansur built Baghdad as the 'Round City' (Madinat al-Salam). Founded on the Tigris at the crossroads of ancient Mesopotamian trade routes, the planned city featured a circular design with the caliph's palace and great mosque at its center. Baghdad rapidly became the world's largest and most cosmopolitan city, a meeting point for Arab, Persian, Turkish, Indian and Greek intellectual traditions.","Bağdat'ın kuruluşu, İslam medeniyetinin ağırlık merkezini Arap coğrafyasından kozmopolit bir dünya başkentine taşıyarak altın çağın fiziksel altyapısını oluşturdu.","12","","10",""
"12","Beytü'l-Hikme'nin Kurulması","Foundation of the House of Wisdom","830","215","33.31","44.37","Bağdat","3","Bilimsel","Kritik","Me'mûn döneminde; Yunan, Farsça, Hintçe eserlerin tercümesi","830 civarında Halife Me'mûn, Bağdat'ta Beytü'l-Hikme'yi (Bilgelik Evi) kurdu. Bu kurum, antik Yunan, Fars, Hint ve Süryani bilimsel eserlerinin sistematik olarak Arapça'ya çevrildiği devasa bir tercüme ve araştırma merkeziydi. Huneyn b. İshak ve ekibi Galen'in tıp eserlerini, Sâbit b. Kurra Arşimet'i, diğerleri Aristoteles ve Platon'u Arapça'ya kazandırdı. Bu tercüme hareketi, antik bilginin korunması ve geliştirilmesinde insanlık tarihinin en önemli entelektüel girişimlerinden biridir.","Around 830, Caliph al-Ma'mun established the House of Wisdom (Bayt al-Hikma) in Baghdad. This institution was a massive translation and research center where ancient Greek, Persian, Indian and Syriac scientific works were systematically translated into Arabic. Hunayn ibn Ishaq and his team translated Galen's medical works, Thabit ibn Qurra translated Archimedes, others rendered Aristotle and Plato into Arabic. This translation movement was one of the most important intellectual enterprises in human history for the preservation and advancement of ancient knowledge.","Beytü'l-Hikme, antik dünyanın bilgi mirasını koruyarak Avrupa Rönesansı'nın entelektüel temelini dolaylı olarak hazırladı.","13","11","","1,2,3,4,5"
"13","el-Hârizmî'nin Cebir Kitabı","Al-Khwarizmi's Algebra","830","215","33.31","44.37","Bağdat","3","Bilimsel","Kritik","Cebir biliminin temeli; 'algoritma' kelimesinin kökeni","830 civarında Muhammed b. Mûsâ el-Hârizmî, Beytü'l-Hikme'de 'Kitâbu'l-Muhtasar fî Hisâbi'l-Cebr ve'l-Mukābele' adlı eserini yazdı. Bu kitap cebir biliminin kurucu eseri olarak kabul edilir ve 'cebir' (algebra) kelimesi kitabın adından, 'algoritma' terimi ise Hârizmî'nin Latince transliterasyonundan gelir. Hint rakam sistemini de İslam dünyasına tanıtan Hârizmî, matematiğin evrensel diline bugün kullandığımız temel kavramları kazandırdı.","Around 830, Muhammad ibn Musa al-Khwarizmi wrote his 'Compendious Book on Calculation by Completion and Balancing' at the House of Wisdom. This book is considered the founding work of algebra — the word 'algebra' comes from the book's title, and 'algorithm' derives from the Latin transliteration of al-Khwarizmi's name. Having also introduced the Hindu numeral system to the Islamic world, al-Khwarizmi gave mathematics' universal language the fundamental concepts we use today.","Hârizmî'nin eserleri matematik tarihinde iki temel kavramın (cebir ve algoritma) doğuşunu temsil eder; modern bilgisayar biliminin uzak kökenidir.","","12","","1"
"14","Sâmarrâ Şehrinin Kuruluşu","Foundation of Samarra","836","221","34.2","43.87","Sâmarrâ, Irak","3","Mimari","Yüksek","Mu'tasım tarafından yeni başkent; Melviye Minaresi","836'da Halife Mu'tasım, Bağdat'taki Türk askerleriyle yerel halk arasındaki sürtüşmeyi çözmek için yeni başkent Sâmarrâ'yı kurdu. Dicle kıyısında 125 km'lik devasa bir alan üzerine planlanan şehir, İslam'ın o güne kadarki en büyük şehir projesi oldu. Dönemin en yüksek yapısı Melviye (spiral) Minaresi burada inşa edildi. Sâmarrâ yarım yüzyıldan fazla Abbâsî başkenti olarak kaldı ve Türk askeri elitinin siyasi gücünün simgesi haline geldi.","In 836, Caliph al-Mu'tasim founded the new capital Samarra to resolve friction between Turkish soldiers and Baghdad's local population. Planned over a vast 125 km stretch along the Tigris, it became Islam's largest urban project to date. The era's tallest structure, the Malwiya (spiral) Minaret, was built here. Samarra remained the Abbasid capital for over half a century and became a symbol of the Turkish military elite's political power.","Sâmarrâ'nın kuruluşu, Türk gulâm sisteminin Abbâsî siyasetindeki belirleyici rolünün somut yansımasıdır.","","11","",""
"15","Mihne (Kur'an'ın Mahlûk Olduğu İnancı Testi)","The Mihna","833","218","33.31","44.37","Bağdat","3","Dini","Yüksek","Me'mûn'un Mu'tezile doktrini dayatması; Ahmed b. Hanbel'in direnişi","833'te Halife Me'mûn, Mu'tezile mezhebinin 'Kur'ân mahlûktur (yaratılmıştır)' görüşünü resmi devlet doktrini ilan ederek 'Mihne' (sınav/inkizisyon) sürecini başlattı. Bu görüşü reddeden âlimler tutuklanıp yargılandı. En ünlü muhalif Ahmed b. Hanbel, hapis ve işkenceye rağmen görüşünden dönmedi ve İslam tarihinin en önemli direniş sembollerinden biri oldu. Mihne, devlet ile ulema arasındaki ilişkinin sınırlarını belirleyen temel kriz olarak İslam düşünce tarihinde dönüm noktasıdır.","In 833, Caliph al-Ma'mun declared the Mu'tazili doctrine that 'the Quran is created' as official state doctrine, launching the 'Mihna' (inquisition). Scholars who rejected this view were arrested and tried. The most famous dissenter, Ahmad ibn Hanbal, refused to recant despite imprisonment and torture, becoming one of Islamic history's most important symbols of resistance. The Mihna was a turning point in Islamic intellectual history as the fundamental crisis defining the relationship between state and ulema.","Mihne sonrası devletin teolojik meselelere müdahale yetkisi fiilen reddedildi; ulemanın bağımsızlığı Sünnî İslam'ın temel ilkesi haline geldi.","","12","","13"
"16","Abbâsî Hilafetinin Zayıflaması — Büveyhî Kontrolü","Buyid Capture of Baghdad","945","334","33.31","44.37","Bağdat","82","Siyasi","Kritik","Şiî Büveyhîler Bağdat'ı kontrol altına aldı; halife sembolik kaldı","945'te Şiî Büveyhî hanedanı Bağdat'ı ele geçirerek Abbâsî halifesini fiilen güçsüz bıraktı. Halife dini-sembolik bir figür olarak varlığını sürdürdü, ancak gerçek siyasi ve askeri güç Büveyhî emirlerinin elindeydi. Bu olay, İslam siyasi tarihinde 'ikili iktidar' modelinin başlangıcıdır: dini meşruiyeti elinde tutan halife ile fiili gücü kullanan askeri hanedan ayrımı. Bu model, Selçuklular ve Memlûkler döneminde de devam edecekti.","In 945, the Shia Buyid dynasty captured Baghdad, effectively rendering the Abbasid caliph powerless. The caliph continued to exist as a religious-symbolic figure, but real political and military power lay with the Buyid emirs. This event marked the beginning of the 'dual power' model in Islamic political history: the distinction between a caliph holding religious legitimacy and a military dynasty wielding actual power. This model would continue under the Seljuks and Mamluks.","Büveyhî Bağdat'ı alması, hilafet kurumunun fiili güçten sembolik meşruiyete dönüşümünün dönüm noktasıdır.","","","",""
"17","Kahire'nin Kuruluşu","Foundation of Cairo","969","358","30.04","31.24","Kahire (al-Qāhira)","27","Mimari","Kritik","Fâtımî komutanı Cevher es-Sıkıllî tarafından kuruldu","969'da Fâtımî komutanı Cevher es-Sıkıllî, Mısır'ı fethederek Kahire (el-Kāhira — 'Zafer Kazanan') şehrini kurdu. Fustat'ın kuzeydoğusuna planlanan yeni başkent, İsmâilî Fâtımî hilafetinin merkezi olarak tasarlandı. Kahire kısa sürede Abbâsî Bağdadı'na rakip bir entelektüel ve ticari metropol haline geldi. Şehrin kuruluşu, İslam dünyasında iki rakip hilafet merkezinin (Bağdat ve Kahire) aynı anda var olduğu benzersiz bir dönemi başlattı.","In 969, Fatimid commander Jawhar al-Siqilli conquered Egypt and founded Cairo (al-Qahira — 'The Victorious'). Planned northeast of Fustat, the new capital was designed as the center of the Ismaili Fatimid caliphate. Cairo rapidly became an intellectual and commercial metropolis rivaling Abbasid Baghdad. The city's founding launched a unique period when two rival caliphal centers (Baghdad and Cairo) existed simultaneously in the Islamic world.","Kahire'nin kuruluşu, İslam dünyasının siyasi ağırlık merkezini kalıcı olarak Nil vadisine kaydıran sürecin başlangıcıdır.","18","","",""
"18","el-Ezher Üniversitesi'nin Kuruluşu","Foundation of al-Azhar","970","359","30.05","31.26","Kahire","27","Bilimsel","Kritik","Dünyanın en eski üniversitelerinden biri; hâlâ faal","970'te Fâtımîler, Kahire'de el-Ezher Camii ve bağlı medreselerini kurdu. Başlangıçta İsmâilî Şiî doktrinin yayılması amacıyla kurulan Ezher, zamanla Sünnî İslam'ın en prestijli eğitim kurumu haline geldi. Bin yılı aşkın kesintisiz eğitim geleneğiyle dünyanın en eski üniversitelerinden biri sayılan Ezher, günümüzde hâlâ İslam dünyasının en yetkili dini-akademik kurumlarının başında gelir.","In 970, the Fatimids founded al-Azhar Mosque and its attached madrasas in Cairo. Originally established to spread Ismaili Shia doctrine, al-Azhar evolved into the most prestigious educational institution of Sunni Islam. Considered one of the world's oldest universities with over a millennium of uninterrupted teaching tradition, al-Azhar remains today among the foremost religious-academic authorities in the Islamic world.","el-Ezher, İslam'da kurumsal eğitimin en uzun ömürlü örneğidir ve Sünnî İslam dünyasındaki dini otoritenin merkezi referans noktası olmaya devam etmektedir.","","17","",""
"19","Dâru'l-Hikme (Kahire)","Foundation of Dar al-Hikma","1005","395","30.04","31.24","Kahire","27","Bilimsel","Yüksek","el-Hâkim döneminde kurulan İsmâilî bilim merkezi","1005'te Fâtımî Halifesi el-Hâkim, Kahire'de Dâru'l-Hikme'yi (Bilgelik Evi) kurdu. Bağdat'taki Beytü'l-Hikme'den ilham alan bu kurum, İsmâilî felsefenin yayılma merkezi olarak işlev gördü. Büyük kütüphanesi ve açık ders halkaları ile bilginleri cezbeden Dâru'l-Hikme, astronomi, tıp ve matematikle ilgili araştırmaları da destekledi. İbn el-Heysem gibi büyük bilginler bu entelektüel ortamdan beslendi.","In 1005, Fatimid Caliph al-Hakim founded the Dar al-Hikma (House of Knowledge) in Cairo. Inspired by Baghdad's Bayt al-Hikma, this institution functioned as a center for disseminating Ismaili philosophy. With its great library and open lecture circles attracting scholars, the Dar al-Hikma also supported research in astronomy, medicine and mathematics. Great scholars such as Ibn al-Haytham were nurtured by this intellectual environment.","Dâru'l-Hikme, Fâtımî entelektüel geleneğinin kurumsal omurgasıdır ve İslam dünyasında rekabetçi bilim merkezleri ağının önemli bir halkasıydı.","","17","","6"
"20","Nizâmiye Medreseleri","Foundation of Nizamiyyah Madrasas","1065","457","33.31","44.37","Bağdat (ve diğer şehirler)","91","Bilimsel","Kritik","Nizâmülmülk; sistematik medrese eğitiminin başlangıcı","1065'ten itibaren Büyük Selçuklu veziri Nizâmülmülk, Bağdat başta olmak üzere birçok şehirde Nizâmiye Medreseleri'ni kurdu. Bu medreseler, İslam eğitim tarihinde sistematik müfredat, düzenli burslar ve devlet destekli eğitim modelinin başlangıcı oldu. Nizâmiye'de İmam Gazâlî gibi büyük âlimler ders verdi. Medrese sistemi Avrupa'daki üniversite modeline ilham kaynağı olduğu düşünülen kurumsal bir eğitim devrimiydi.","From 1065 onward, Great Seljuk vizier Nizam al-Mulk founded the Nizamiyyah Madrasas in Baghdad and many other cities. These madrasas marked the beginning of systematic curriculum, regular scholarships, and state-sponsored education in Islamic educational history. Great scholars like Imam al-Ghazali taught at the Nizamiyyah. The madrasa system was an institutional educational revolution thought to have inspired the European university model.","Nizâmiye Medreseleri, İslam'da devlet destekli yükseköğretimin kurumsallaşmasıdır; bu model Ortadoğu, Orta Asya ve Anadolu'da yüzlerce yıl uygulandı.","","","","12,13"
"21","I. Haçlı Seferi — Kudüs'ün Kaybı","First Crusade — Fall of Jerusalem","1099","492","31.77","35.23","Kudüs","27","Siyasi","Kritik","Haçlılar Kudüs'ü ele geçirdi; İslam dünyasında şok","1099'da I. Haçlı Seferi, Kudüs'ü ele geçirdi. Avrupalı şövalyeler şehre girdiklerinde Müslüman ve Yahudi halkı katletti. Yaklaşık 450 yıldır İslam hakimiyetindeki Kudüs'ün kaybı, İslam dünyasında derin bir şok yarattı. Fâtımîlerin zayıflığı ve İslam dünyasındaki siyasi parçalanma, Haçlıların başarısının temel nedeniydi. Bu olay, Salâhaddîn Eyyûbî'nin ortaya çıkışına ve İslam dünyasının birleşme çağrısına zemin hazırladı.","In 1099, the First Crusade captured Jerusalem. The European knights massacred the Muslim and Jewish population upon entering the city. The loss of Jerusalem, under Islamic rule for approximately 450 years, sent shockwaves through the Muslim world. Fatimid weakness and political fragmentation in the Islamic world were the fundamental reasons for Crusader success. This event prepared the ground for Saladin's emergence and the call for Islamic world unity.","Kudüs'ün kaybı, İslam dünyasında 'cihat' kavramının yeniden canlanmasını ve Zengî-Eyyûbî birleştirme hareketini tetikledi.","22","","14",""
"22","Kudüs'ün Geri Alınması","Reconquest of Jerusalem","1187","583","31.77","35.23","Kudüs","30","Siyasi","Kritik","Salâhaddîn Eyyûbî 88 yıl sonra Kudüs'ü geri aldı","1187'de Salâhaddîn Eyyûbî, Hıttîn zaferinin ardından Kudüs'ü 88 yıl sonra geri aldı. I. Haçlı Seferi'ndeki katliamın aksine, Salâhaddîn şehri barışçıl biçimde teslim aldı ve Hristiyan halkın fidye ödeyerek ayrılmasına izin verdi. Bu davranış hem İslam hem Batı tarih yazımında 'şövalye ruhu' örneği olarak anılır. Kudüs'ün geri alınması İslam dünyasında büyük coşku yarattı ve Salâhaddîn'i İslam tarihinin en saygın liderlerinden biri haline getirdi.","In 1187, Saladin retook Jerusalem after 88 years, following his victory at Hattin. Unlike the massacre during the First Crusade, Saladin accepted the city peacefully and allowed Christian inhabitants to leave upon payment of ransom. This conduct is cited in both Islamic and Western historiography as an example of chivalry. The reconquest of Jerusalem generated great jubilation in the Muslim world and made Saladin one of the most respected leaders in Islamic history.","Kudüs'ün geri alınması, İslam dünyasında birlik ve cihat idealinin en güçlü sembolik gerçekleşmesidir.","","21","14,15",""
"23","Merâga Rasathanesi","Maragha Observatory","1259","657","37.39","46.22","Merâga, Azerbaycan","133","Bilimsel","Kritik","Nasîrüddîn Tûsî; İslam astronomisinin zirvesi","1259'da Moğol İlhanlı hükümdarı Hülâgü'nün veziri ve büyük bilgin Nasîrüddîn Tûsî, Merâga'da İslam dünyasının en gelişmiş rasathanesini kurdu. Farklı dinlerden (Müslüman, Hristiyan, Budist) astronomlar burada birlikte çalıştı. Merâga Rasathanesi, Ptolemaios'un gezegen modelini düzelten yeni astronomik teoriler üretti; Tûsî'nin geliştirdiği 'Tûsî çifti' mekanizması, Kopernik'in güneş merkezli modeline zemin hazırladı.","In 1259, the great scholar Nasir al-Din al-Tusi, vizier to the Mongol Ilkhanid ruler Hulagu, established the most advanced observatory in the Islamic world at Maragha. Astronomers from different religions (Muslim, Christian, Buddhist) worked together here. The Maragha Observatory produced new astronomical theories that corrected Ptolemy's planetary model; the 'Tusi couple' mechanism developed by al-Tusi helped lay the groundwork for Copernicus's heliocentric model.","Merâga Rasathanesi, Moğol yıkımının ortasında İslam biliminin devam ettiğini kanıtlayan ve Avrupa astronomi devrimine zemin hazırlayan entelektüel başarıdır.","","24","","18"
