"battle_id","name_tr","name_en","date_ce","date_hijri","lat","lon","location_tr","dynasty_id_1","role_1","dynasty_id_2_or_enemy","role_2","battle_type","significance","result_summary","related_ruler_ids","narrative_tr","narrative_en","long_term_impact_tr","long_term_impact_en","tactical_note_tr","causes_event_id","caused_by_event_id"
"11","Poitiers (Balâtüşşühedâ) Savaşı","Battle of Tours/Poitiers","732","114","46.58","0.35","Poitiers, Fransa","2","Mağlup","Frank Krallığı (Charles Martel)","","Meydan Muharebesi","Kritik","İslam'ın Avrupa'daki en ileri noktası; geri çekilme","","732'deki Poitiers (Balâtüşşühedâ) Savaşı, İslam ordularının Avrupa'daki en ileri noktasını işaret eder. Endülüs valisi Abdurrahman el-Gāfikī komutasındaki müslüman kuvvetleri, Frank kralı Charles Martel'in ağır piyadesine yenildi. Abdurrahman savaşta öldü. Batı tarih yazımında 'Avrupa'yı kurtaran savaş' olarak anılsa da, İslam kaynakları bunu büyük bir stratejik hedef değil, bir akın seferi olarak değerlendirir. Yine de savaş, İslam'ın Pirene'lerin ötesine genişlemesinin fiili sonu oldu.","The Battle of Tours/Poitiers in 732 marked the farthest point of Islamic armies in Europe. The Muslim force under the Andalusian governor Abd al-Rahman al-Ghafiqi was defeated by Charles Martel's heavy Frankish infantry. Abd al-Rahman was killed. While Western historiography treats this as 'the battle that saved Europe,' Islamic sources view it as a failed raid rather than a major strategic objective. Nonetheless, the battle effectively ended Islamic expansion beyond the Pyrenees.","Poitiers sonrası İslam'ın Avrupa'daki yayılma yönü Akdeniz ve İber Yarımadası ile sınırlı kaldı; Frank İmparatorluğu güçlenerek Karolenj dönemini başlattı.","After Poitiers, Islamic expansion in Europe was limited to the Mediterranean and Iberia; the Frankish empire strengthened, launching the Carolingian era.","Charles Martel'in ağır piyadesinin 'kare dizilişi' Arap hafif süvarisinin hücumlarını püskürtmekte etkili oldu.","","10"
"12","Talas Savaşı","Battle of Talas","751","133","42.52","72.23","Talas Nehri, Orta Asya","3","Galip","Tang Çin Hanedanı","","Meydan Muharebesi","Yüksek","İslam'ın Orta Asya hakimiyetini pekiştirdi; kâğıt teknolojisi transferi","","751'deki Talas Savaşı, İslam ve Çin arasındaki tek büyük askeri karşılaşmadır. Abbâsî komutanı Ziyâd b. Sâlih ile Tang hanedanı generali Gao Xianzhi Orta Asya hakimiyeti için Talas Nehri'nde karşılaştı. Karluk Türklerinin Abbâsî tarafına geçmesiyle Çin ordusu yenildi. Askeri sonuçtan çok daha önemlisi, Çinli savaş esirleri aracılığıyla kâğıt yapım teknolojisinin İslam dünyasına aktarılmasıydı — bu, bilgi tarihinde bir devrim noktasıdır.","The Battle of Talas in 751 was the only major military encounter between Islam and China. Abbasid commander Ziyad ibn Salih and Tang general Gao Xianzhi clashed for Central Asian supremacy at the Talas River. The Karluk Turks' defection to the Abbasid side sealed the Chinese defeat. Far more significant than the military outcome was the transfer of papermaking technology through Chinese prisoners of war — a revolution in the history of knowledge.","Kâğıt teknolojisi İslam dünyasında yaygınlaşarak Bağdat, Şam ve Kahire'de kâğıt imalathaneleri kuruldu; bu 'bilgi devrimi' Beytü'l-Hikme çağını mümkün kıldı.","Papermaking spread throughout the Islamic world, with mills established in Baghdad, Damascus and Cairo; this 'knowledge revolution' made the House of Wisdom era possible.","Karluk Türklerinin savaş sırasında taraf değiştirmesi, Orta Asya savaşlarında göçebe müttefiklerin belirleyici rolünü gösteren klasik örnektir.","48",""
"13","Zellâka Savaşı","Battle of Sagrajas/Zallaqa","1086","479","38.88","-6.97","Zellâka, İspanya","14","Galip","Kastilya Krallığı (VI. Alfonso)","","Meydan Muharebesi","Yüksek","Murâbıtlar İspanya'ya geçti; Reconquista durduruldu","","1086'daki Zellâka Savaşı, Reconquista'nın en kritik dönüm noktalarından biridir. Kastilya kralı VI. Alfonso'nun Tuleytula'yı (Toledo) almasının ardından çaresiz kalan Endülüs emîrleri, Kuzey Afrika'daki Murâbıt sultanı Yûsuf b. Tâşfîn'den yardım istedi. Yûsuf, Endülüs kuvvetleriyle birleşerek Alfonso'yu Zellâka'da ağır yenilgiye uğrattı. Bu zafer Hristiyan ilerleyişini birkaç nesil durdurdu, ancak Murâbıtlar ardından Endülüs beyliklerini kendi topraklarına kattı.","The Battle of Sagrajas/Zallaqa in 1086 was a critical turning point in the Reconquista. After Castilian king Alfonso VI captured Toledo, desperate Andalusian emirs summoned the Almoravid sultan Yusuf ibn Tashfin from North Africa. Yusuf, combining forces with the Andalusians, inflicted a crushing defeat on Alfonso at Zallaqa. This victory halted Christian advance for several generations, though the Almoravids subsequently annexed the Andalusian principalities themselves.","Zellâka, Endülüs'ün bağımsız beylikler dönemini sona erdirip Kuzey Afrika merkezli imparatorluklara (Murâbıtlar, sonra Muvahhidler) bağımlı hale gelmesine yol açtı.","Zallaqa ended the era of independent Andalusian principalities, making the peninsula dependent on North African empires (Almoravids, then Almohads).","Yûsuf b. Tâşfîn, Sahra çöl savaşı tecrübesinden gelen deve birliklerini Avrupa meydan muharebesi koşullarına başarıyla uyarladı.","",""
"14","Hıttîn Savaşı","Battle of Hattin","1187","583","32.8","35.44","Hıttîn, Filistin","30","Galip","Haçlılar (Kudüs Krallığı)","","Meydan Muharebesi","Kritik","Salâhaddîn Eyyûbî'nin zaferi; Kudüs'ün geri alınması","","1187'deki Hıttîn Savaşı, Haçlı tarihi için kesin dönüm noktasıdır. Salâhaddîn Eyyûbî, Mısır ve Suriye'yi birleştirdikten sonra Kudüs Krallığı'na karşı büyük bir sefer açtı. Tiberya Gölü yakınlarındaki susuz platoda Haçlı ordusunu çevirip imha etti. Kudüs Kralı Guy de Lusignan ve Kutsal Haç relikası ele geçirildi. Üç ay içinde Kudüs dahil neredeyse tüm Haçlı toprakları geri alındı.","The Battle of Hattin in 1187 was the definitive turning point in Crusader history. Saladin, having unified Egypt and Syria, launched a major campaign against the Kingdom of Jerusalem. He trapped and annihilated the Crusader army on a waterless plateau near the Sea of Galilee. King Guy de Lusignan and the True Cross relic were captured. Within three months, nearly all Crusader territories including Jerusalem were recaptured.","Hıttîn, III. Haçlı Seferi'ni tetikledi ancak Haçlılar Kudüs'ü bir daha kalıcı olarak alamadı; Eyyûbî-Memlûk mirası iki yüz yıl boyunca bölgeyi şekillendirdi.","Hattin triggered the Third Crusade but the Crusaders never permanently retook Jerusalem; the Ayyubid-Mamluk legacy shaped the region for two centuries.","Salâhaddîn düşmanı susuz araziye çekerek su lojistiğini stratejik silah olarak kullandı — klasik 'tuzak savaşı' örneği.","22","21"
"15","Arsuf Savaşı","Battle of Arsuf","1191","587","32.19","34.79","Arsuf, Filistin","30","Mağlup","III. Haçlı Seferi (I. Richard)","","Meydan Muharebesi","Normal","Richard'ın kıyı zaferi; ama Kudüs alınamadı","","1191'deki Arsuf Savaşı, III. Haçlı Seferi'nin en önemli meydan muharebesidir. İngiltere Kralı I. Richard (Aslan Yürekli), kıyı boyunca güneye ilerlerken Salâhaddîn'in ordusu sürekli taciz saldırıları düzenledi. Arsuf yakınlarında Richard disiplinli bir karşı saldırıyla Eyyûbî kuvvetlerini geri püskürttü. Bu taktik zafer Richard'ın Yafa'yı almasını sağladıysa da, Kudüs'ü geri almaya yetecek gücü yoktu ve sonunda barış anlaşması yapıldı.","The Battle of Arsuf in 1191 was the most significant pitched battle of the Third Crusade. As King Richard I of England marched south along the coast, Saladin's forces conducted constant harassing attacks. Near Arsuf, Richard launched a disciplined counterattack that drove back the Ayyubid forces. This tactical victory enabled Richard to take Jaffa, but he lacked the strength to retake Jerusalem and eventually signed a peace treaty.","Arsuf sonrası ulaşılan barış anlaşması, Haçlıları kıyı şeridine sıkıştırarak İslam'ın iç bölgelerdeki hakimiyetini teyit etti.","The peace treaty following Arsuf confined the Crusaders to the coast, confirming Islamic control over the interior.","Richard'ın 'yürüyüş sırasında savaş' (fighting march) düzeni, ağır zırhlı süvarinin disiplinli kullanımının ortaçağ klasiğidir.","","22"
"16","Mansûra Savaşı","Battle of Mansurah","1250","648","31.04","31.38","Mansûra, Mısır","31","Galip","VII. Haçlı Seferi (IX. Louis)","","Meydan Muharebesi","Yüksek","Memlûklerin yükselişi; Louis esir alındı","","1250'deki Mansûra Savaşı, İslam tarihinde bir çağın kapanıp yenisinin açıldığı andır. Fransa Kralı IX. Louis'nin komutasındaki VII. Haçlı Seferi Mısır'a çıkarma yaptı. Mansûra'da Eyyûbî-Memlûk kuvvetleri, Haçlı ordusunu kuşatarak Louis'yi esir aldı. Bu zafer Memlûk askerî elitinin siyasi gücünü kanıtladı; kısa süre sonra son Eyyûbî sultanını devirerek kendi hanedanlarını kurdular.","The Battle of Mansurah in 1250 marked the closing of one era and the opening of another in Islamic history. The Seventh Crusade under King Louis IX of France landed in Egypt. At Mansurah, Ayyubid-Mamluk forces encircled the Crusader army and captured Louis himself. This victory proved the military-political power of the Mamluk elite; shortly after, they deposed the last Ayyubid sultan and established their own dynasty.","Mansûra, Memlûk Sultanlığı'nın doğuşunu tetikledi; on yıl sonra aynı askerî gelenek Ayncelût'ta Moğolları durduracaktı.","Mansurah triggered the birth of the Mamluk Sultanate; a decade later the same military tradition would halt the Mongols at Ain Jalut.","Memlûk süvarileri dar sokak savaşında ağır zırhlı Frank şövalyelerini manevralarla yendi — kentsel muharebe taktiğinin erken örneği.","",""
"17","Ayncelût Savaşı","Battle of Ain Jalut","1260","658","32.56","35.32","Ayncelût, Filistin","31","Galip","Moğol İmparatorluğu (Ketbuğa)","","Meydan Muharebesi","Kritik","Moğol ilerleyişinin durdurulması; İslam dünyasının kurtarılması","","1260'taki Ayncelût Savaşı, dünya tarihinin en belirleyici meydan muharebelerinden biridir. Moğollar Bağdat'ı yıkıp Suriye'yi geçtikten sonra Mısır'a doğru ilerliyordu. Memlûk sultanı Kutuz ve komutanı Baybars, Moğol öncü kuvvetini Filistin'deki Ayncelût (Câlût Pınarı) ovasında karşıladı. Baybars'ın sahte geri çekilme taktiğiyle Moğol ordusu çevrilerek imha edildi. Bu zafer, o güne kadar yenilmez görünen Moğol ilerleyişinin ilk büyük durağıydı.","The Battle of Ain Jalut in 1260 was one of the most decisive battles in world history. After the Mongols destroyed Baghdad and swept through Syria, they advanced toward Egypt. Mamluk sultan Qutuz and his commander Baybars met the Mongol vanguard on the plain of Ain Jalut (Goliath's Spring) in Palestine. Baybars' feigned retreat tactic encircled and destroyed the Mongol army. This victory was the first major halt of the Mongol advance, previously thought invincible.","Ayncelût, İslam'ın Mısır-Suriye eksenini Moğol yıkımından kurtardı; Memlûkler iki buçuk asır İslam dünyasının askeri kalkanı oldu.","Ain Jalut saved the Egypt-Syria axis of Islam from Mongol destruction; the Mamluks became the military shield of the Islamic world for two and a half centuries.","Baybars'ın sahte geri çekilme (feigned retreat) taktiği, Moğolların kendi savaş kitabından alınmış bir stratejiydi.","","24"
"18","Dandânakan Savaşı","Battle of Dandanaqan","1040","431","36.18","62.17","Dandânakan, Horasan","91","Galip","158","Mağlup","Meydan Muharebesi","Kritik","Selçukluların Gaznelileri yenilgiye uğratması; Büyük Selçuklu Devleti'nin kuruluşu","","1040'taki Dandânakan Savaşı, Türk-İslam tarihinin dönüm noktasıdır. Tuğrul ve Çağrı Bey komutasındaki Selçuklu Türkmenleri, Gazneli Sultan Mesud'un ordusunu Horasan çöllerinde bozguna uğrattı. Gazneliler ağır lojistik sorunlar ve susuzlukla boğuşurken, hafif Türkmen süvarisi vur-kaç taktiğiyle düşmanı yıprattı. Bu zafer Büyük Selçuklu Devleti'nin resmen kuruluşunu mümkün kıldı ve Türklerin İslam dünyasındaki askeri-siyasi üstünlük çağını başlattı.","The Battle of Dandanaqan in 1040 was the turning point of Turko-Islamic history. Seljuk Turkmen under Tughril and Chaghri Bey routed the army of Ghaznavid Sultan Mas'ud in the deserts of Khurasan. While the Ghaznavids struggled with severe logistical problems and thirst, light Turkmen cavalry wore them down with hit-and-run tactics. This victory enabled the formal founding of the Great Seljuk state and launched the era of Turkic military-political supremacy in the Islamic world.","Dandânakan sonrası Selçuklular İran, Irak ve Anadolu'ya yayılarak İslam dünyasının siyasi haritasını yeniden çizdi; otuz yıl sonra Malazgirt gelecekti.","After Dandanaqan, the Seljuks expanded into Iran, Iraq and Anatolia, redrawing the political map of the Islamic world; thirty years later came Manzikert.","Selçukluların 'tulga' (vur-kaç) taktiği, göçebe savaş geleneğinin düzenli orduya karşı nasıl etkili olduğunun klasik örneğidir.","",""
"19","Malazgirt Savaşı","Battle of Manzikert","1071","463","39.14","43.54","Malazgirt, Muş","91","Galip","Bizans İmparatorluğu (IV. Romanos)","","Meydan Muharebesi","Kritik","Anadolu kapılarının Türklere açılması","","1071'deki Malazgirt Savaşı, Anadolu tarihinin en belirleyici olayıdır. Sultan Alparslan komutasındaki Selçuklu ordusu, Bizans İmparatoru IV. Romanos Diogenes'in büyük ordusunu Malazgirt ovasında yendi ve imparatoru esir aldı. Bu, Bizans tarihinde bir imparatorun savaş meydanında esir düştüğü nadir olaylardan biriydi. Zafer, Anadolu'nun kapılarını Türk göçüne ve yerleşimine açarak bölgenin demografik ve kültürel yapısını kalıcı olarak değiştirdi.","The Battle of Manzikert in 1071 was the most decisive event in Anatolian history. The Seljuk army under Sultan Alp Arslan defeated the large Byzantine army of Emperor Romanos IV Diogenes and captured the emperor himself — one of the rare occasions a Byzantine emperor was taken prisoner on the battlefield. The victory opened Anatolia's gates to Turkish migration and settlement, permanently transforming the region's demographic and cultural character.","Malazgirt, Türkiye'nin etnik ve kültürel temellerini attı; Anadolu Selçuklu Devleti ve ardından Osmanlı İmparatorluğu bu sürecin ürünüdür.","Manzikert laid the ethnic and cultural foundations of Turkey; the Anatolian Seljuk state and later the Ottoman Empire were products of this process.","Alparslan'ın hilâl (crescent) taktiği — sahte geri çekilmeyle düşmanı çekerek kanatlardan kuşatma — Türk askeri geleneğinin imza manevrasıdır.","",""
"20","Myriokephalon Savaşı","Battle of Myriokephalon","1176","572","38.07","30.24","Myriokephalon, Anadolu","94","Galip","Bizans İmparatorluğu (I. Manuel)","","Meydan Muharebesi","Yüksek","Bizans'ın Anadolu'yu geri alma umudunun sona ermesi","","1176'daki Myriokephalon Savaşı, Malazgirt'ten bir asır sonra Bizans'ın Anadolu'yu geri alma hayalini kesin olarak bitirdi. İmparator I. Manuel Komnenos, Anadolu Selçuklu sultanı II. Kılıç Arslan'a karşı büyük bir sefer düzenledi. Ancak Selçuklu kuvvetleri dar bir geçitte Bizans ordusuna pusu kurarak ağır kayıplar verdirdi. Manuel barış istemek zorunda kaldı. Bu yenilgi, Anadolu'nun artık geri dönüşü olmayan biçimde Türk yurdu olduğunu teyit etti.","The Battle of Myriokephalon in 1176 definitively ended Byzantine hopes of recovering Anatolia, a century after Manzikert. Emperor Manuel I Komnenos launched a major campaign against Seljuk sultan Kilij Arslan II. But Seljuk forces ambushed the Byzantine army in a narrow pass, inflicting heavy casualties. Manuel was forced to seek peace. This defeat confirmed that Anatolia had irreversibly become a Turkish homeland.","Myriokephalon sonrası Bizans Anadolu politikası tamamen savunmaya döndü; iki yüz yıl içinde imparatorluk İstanbul çevresine sıkışacaktı.","After Myriokephalon, Byzantine Anatolian policy turned entirely defensive; within two centuries the empire would be confined to the area around Constantinople.","Dar geçit pusu taktiği, Selçukluların Anadolu coğrafyasını askeri avantaja dönüştürme ustalığını gösterir.","",""
"21","Kösedağ Savaşı","Battle of Kose Dag","1243","641","39.75","37.08","Kösedağ, Sivas","94","Mağlup","Moğol İmparatorluğu (Baycu Noyan)","","Meydan Muharebesi","Kritik","Anadolu Selçukluları Moğol vasalı oldu","","1243'teki Kösedağ Savaşı, Anadolu Selçuklu Devleti'nin bağımsızlığının fiili sonudur. Moğol komutanı Baycu Noyan'ın kuvvetleri, Sultan II. Gıyâseddîn Keyhusrev'in ordusunu Sivas yakınlarındaki Kösedağ'da bozguna uğrattı. Sultan savaş meydanından kaçtı. Bundan sonra Anadolu Selçukluları Moğol İlhanlılarının vasalı haline geldi; merkezi otorite çöktü ve Anadolu'da Türkmen beylikleri dönemi başladı — bu beyliklerden biri de Osmanlı'ydı.","The Battle of Köse Dağ in 1243 effectively ended the independence of the Anatolian Seljuk state. Mongol commander Baycu Noyan's forces routed the army of Sultan Kaykhusraw II near Sivas. The sultan fled the battlefield. Afterward, the Anatolian Seljuks became vassals of the Mongol Ilkhanate; central authority collapsed and the era of Turkmen principalities began in Anatolia — one of which was the Ottoman beylik.","Kösedağ, Anadolu'nun siyasi parçalanmasına yol açtı; bu kaos ortamından yarım yüzyıl sonra Osmanlı Beyliği yükselecekti.","Köse Dağ led to Anatolia's political fragmentation; from this chaos the Ottoman beylik would rise half a century later.","Selçuklu ordusundaki panik ve disiplinsizlik, Moğol psikolojik savaş taktiğinin (korkuya dayalı yıldırma) etkisini gösterir.","",""
"22","Bağdat'ın Düşüşü","Fall of Baghdad","1258","656","33.31","44.37","Bağdat, Irak","3","Mağlup","Moğol İmparatorluğu (Hülâgü)","","Kuşatma","Kritik","Abbâsî Halifeliği'nin sonu; İslam medeniyetinin büyük kayıpları","","1258'deki Bağdat'ın Düşüşü, İslam medeniyeti tarihinin en yıkıcı olayıdır. Hülâgü Han komutasındaki Moğol ordusu, beş yüz yıllık Abbâsî başkentini kuşattı ve aldı. Son Abbâsî halifesi Musta'sım öldürüldü, şehir haftalarca yağmalandı. Kütüphanelerdeki yüz binlerce eser tahrip edildi, Dicle Nehri'nin mürekkeple siyaha döndüğü rivayet edilir. Bu felaket, İslam'ın entelektüel başkentini ve hilafet kurumunu aynı anda yok etti.","The Fall of Baghdad in 1258 was the most devastating event in Islamic civilizational history. The Mongol army under Hulagu Khan besieged and took the five-century-old Abbasid capital. The last Abbasid caliph al-Musta'sim was killed, and the city was plundered for weeks. Hundreds of thousands of manuscripts in the libraries were destroyed; the Tigris supposedly ran black with ink. This catastrophe simultaneously destroyed Islam's intellectual capital and the institution of the caliphate.","Bağdat'ın düşüşü İslam dünyasının ağırlık merkezini Kahire'ye kaydırdı; Memlûkler yeni koruyucu güç oldu ve sembolik halifeliği Kahire'de devam ettirdi.","Baghdad's fall shifted the center of gravity of the Islamic world to Cairo; the Mamluks became the new protective power and continued the symbolic caliphate in Cairo.","Hülâgü, Bağdat'ın sulama kanallarını yıkarak şehri hem askerî hem ekonomik olarak çökertme stratejisi uyguladı.","24",""
"23","Ayn Câlût Savaşı (tekrar)","Battle of Ain Jalut","1260","658","32.56","35.32","Ayncelût, Filistin","31","Galip","133","Mağlup","Meydan Muharebesi","Kritik","Moğol ilerleyişi durdu; Memlûkler İslam dünyasının savunucusu","","Bu kayıt, 17 numaralı Ayncelût Savaşı kaydının tekrarıdır. Ayncelût Savaşı'nın detayları için battle_id 17'ye bakınız. Memlûk sultanı Kutuz ve komutanı Baybars'ın Moğol öncü kuvvetini Filistin'de yendiği bu meydan muharebesi, yenilmez görünen Moğol ilerleyişinin ilk büyük durağıydı ve İslam dünyasının Mısır-Suriye eksenini kurtardı.","This record is a duplicate of Battle of Ain Jalut (battle_id 17). See battle_id 17 for full details. The Mamluk forces under Sultan Qutuz and commander Baybars defeated the Mongol vanguard in Palestine, marking the first major halt of the seemingly invincible Mongol advance and saving the Egypt-Syria axis of the Islamic world.","Bkz. battle_id 17.","See battle_id 17.","Bkz. battle_id 17.","","24"
"24","Ankara Savaşı","Battle of Ankara","1402","804","39.93","32.85","Ankara, Anadolu","130","Mağlup","Timur İmparatorluğu","","Meydan Muharebesi","Kritik","Yıldırım Bayezid esir; Osmanlı Fetret Devri başladı","","1402'deki Ankara Savaşı, Osmanlı İmparatorluğu'nu yarım yüzyıl geriye attı. Timur'un devasa ordusu, Yıldırım Bayezid'in kuvvetlerini Ankara Ovası'nda karşıladı. Osmanlı ordusundaki Anadolu beyliklerinin Timur tarafına geçmesi dengeyi bozdu. Bayezid esir alındı ve esarette öldü. Osmanlı toprakları Bayezid'in oğulları arasında paylaşıldı ve 'Fetret Devri' başladı — on bir yıllık bu iç savaş ve parçalanma dönemi imparatorluğun çöküşüne yol açabilirdi, ancak Mehmed Çelebi'nin birliği yeniden sağlaması Osmanlı'yı kurtardı.","The Battle of Ankara in 1402 set the Ottoman Empire back by half a century. Timur's massive army met Bayezid I's forces on the Ankara plain. The defection of Anatolian beyliks to Timur's side tipped the balance. Bayezid was captured and died in captivity. Ottoman lands were divided among Bayezid's sons, beginning the 'Interregnum' — this eleven-year period of civil war and fragmentation could have ended the empire, but Mehmed Çelebi's reunification saved it.","Ankara Savaşı, Osmanlı'nın İstanbul'u fetih planını elli yıl erteledi; ancak Fetret Devri'nden çıkan devlet daha merkezi ve güçlü bir yapıya kavuştu.","The Battle of Ankara delayed Ottoman plans to conquer Constantinople by fifty years; however, the state that emerged from the Interregnum was more centralized and powerful.","Timur'un Ankara'da su kaynaklarını keserek Osmanlı ordusunu susuz bırakması, stratejik lojistik üstünlüğünün savaş sonucunu belirleyebildiğini gösterir.","",""
"25","Varna Savaşı","Battle of Varna","1444","848","43.2","27.92","Varna, Bulgaristan","130","Galip","Haçlı İttifakı (III. Vladislav)","","Meydan Muharebesi","Yüksek","Osmanlı Balkan hakimiyetinin pekişmesi","","1444'teki Varna Savaşı, Osmanlı'nın Balkan hakimiyetini pekiştiren kritik zaferdir. Genç sultan II. Murad, Macar Kralı III. Vladislav ve Hunyadi Yanoş komutasındaki Haçlı koalisyonunu Karadeniz kıyısındaki Varna'da karşıladı. Kral Vladislav'ın yeniçeri hattına doğrudan saldırması felaketine dönüştü — kral öldürüldü ve Haçlı ordusu dağıldı. Bu zafer, Osmanlı'nın Rumeli'deki varlığının artık geri döndürülemez olduğunu Avrupa'ya kanıtladı.","The Battle of Varna in 1444 was the critical victory that consolidated Ottoman dominance in the Balkans. Young sultan Murad II met the Crusader coalition under Hungarian King Vladislav III and John Hunyadi on the Black Sea coast at Varna. King Vladislav's direct charge into the Janissary lines proved fatal — the king was killed and the Crusader army collapsed. This victory proved to Europe that the Ottoman presence in Rumelia was irreversible.","Varna sonrası Avrupa'nın organize Haçlı seferi geleneği fiilen sona erdi; Osmanlı Balkan fetihlerini güvence altına aldı.","After Varna, Europe's tradition of organized crusades effectively ended; Ottoman Balkan conquests were secured.","Yeniçerilerin 'vagenburgu' (tabur savaşı düzeni) Haçlı süvari hücumlarını absorbe ederek savunma derinliği sağladı.","",""
"26","İstanbul'un Fethi","Fall of Constantinople","1453","857","41.01","28.98","İstanbul (Konstantinopolis)","130","Galip","Bizans İmparatorluğu (XI. Konstantinos)","","Kuşatma","Kritik","Bizans'ın sonu; Osmanlı'nın dünya gücü olması","","1453'teki İstanbul'un fethi, dünya tarihinin en önemli dönüm noktalarından biridir. Sultan II. Mehmed (Fatih), bin yılı aşkın süredir ayakta kalan Konstantinopolis'i kuşattı. Devasa Şâhî toplarıyla surları döverken, donanmayı karadan Haliç'e geçirerek Bizans'ın deniz savunmasını devre dışı bıraktı. 53 günlük kuşatma sonunda 29 Mayıs'ta şehir düştü. Fetih, Ortaçağ'ı sembolik olarak kapattı ve Osmanlı İmparatorluğu'nu üç kıtaya hükmeden bir dünya gücüne dönüştürdü.","The conquest of Constantinople in 1453 was one of the most important turning points in world history. Sultan Mehmed II (the Conqueror) besieged Constantinople, which had stood for over a millennium. While bombarding the walls with the massive Şahi cannons, he outflanked Byzantine naval defenses by transporting ships overland into the Golden Horn. After a 53-day siege, the city fell on May 29. The conquest symbolically closed the Middle Ages and transformed the Ottoman Empire into a world power ruling three continents.","İstanbul'un fethi, Osmanlı'nın Roma mirasçısı iddiasını somutlaştırdı; şehir 470 yıl boyunca dünyanın en stratejik başkentlerinden biri olarak Osmanlı gücünün merkezi kaldı.","The conquest materialized the Ottoman claim to the Roman legacy; Istanbul remained the center of Ottoman power as one of the world's most strategic capitals for 470 years.","Gemilerin karadan yağlı kızaklar üzerinde çekilerek Haliç'e indirilmesi, askeri tarihte eşi görülmemiş bir lojistik başarıdır.","",""
"27","Çaldıran Savaşı","Battle of Chaldiran","1514","920","39.07","44.08","Çaldıran, Van","130","Galip","148","Mağlup","Meydan Muharebesi","Kritik","Osmanlı-Safevî sınırı belirlendi; ateşli silahların üstünlüğü","","1514'teki Çaldıran Savaşı, Osmanlı-Safevî rekabetinin ilk büyük askeri hesaplaşmasıdır. Yavuz Sultan Selim, Safevî Şah İsmail'in ordusunu Doğu Anadolu'daki Çaldıran Ovası'nda karşıladı. Osmanlı'nın ateşli silahları (toplar ve tüfekler), Safevî Kızılbaş süvarisinin geleneksel savaş taktiğine karşı kesin üstünlük sağladı. Bu zafer Doğu Anadolu'nun Osmanlı'da kalmasını güvence altına aldı ve Osmanlı-Safevî arasındaki mezhepsel sınırı fiilen çizdi.","The Battle of Chaldiran in 1514 was the first major military confrontation of the Ottoman-Safavid rivalry. Sultan Selim I met Safavid Shah Ismail's army on the Chaldiran plain in eastern Anatolia. Ottoman firearms (cannons and muskets) proved decisively superior to the traditional Qizilbash cavalry tactics. This victory secured eastern Anatolia for the Ottomans and effectively drew the sectarian boundary between the Ottoman and Safavid empires.","Çaldıran, Osmanlı-Safevî sınırını iki yüz yıl boyunca kabaca sabit tuttu; İran Şiîliği ile Osmanlı Sünnîliği arasındaki jeopolitik ayrım bugüne kadar etkilidir.","Chaldiran kept the Ottoman-Safavid border roughly fixed for two centuries; the geopolitical division between Iranian Shiism and Ottoman Sunnism remains influential to this day.","Osmanlı topçusunun arabalar arkasına yerleştirilmesi (tabur cengi), erken modern dönemin en etkili ateşli silah taktiklerinden biridir.","","33"
"28","Mercidâbık Savaşı","Battle of Marj Dabiq","1516","922","36.57","37.05","Mercidâbık, Halep kuzeyi","130","Galip","31","Mağlup","Meydan Muharebesi","Kritik","Osmanlı Memlûk topraklarını fethetti; hilafet Osmanlı'ya geçti","","1516'daki Mercidâbık Savaşı, Osmanlı İmparatorluğu'nun Ortadoğu'nun hâkimi haline geldiği belirleyici andır. Yavuz Sultan Selim, Memlûk sultanı Kansu Gavri'nin ordusunu Halep kuzeyinde karşıladı. Memlûklerin ateşli silahları küçümsemesi ve Osmanlı'nın üstün topçusu arasındaki fark yıkıcıydı. Kansu Gavri savaş meydanında öldü. Bu zaferle Suriye, Filistin ve kutsal topraklar Osmanlı'ya geçti; İslam hilafetinin Osmanlı'ya intikal süreci başladı.","The Battle of Marj Dabiq in 1516 was the defining moment when the Ottoman Empire became master of the Middle East. Sultan Selim I met Mamluk sultan Qansuh al-Ghawri's army north of Aleppo. The contrast between the Mamluks' disdain for firearms and the Ottomans' superior artillery was devastating. Qansuh died on the battlefield. This victory brought Syria, Palestine and the holy lands under Ottoman rule; the process of transferring the Islamic caliphate to the Ottomans began.","Mercidâbık, Osmanlı'yı Hicaz'ın ve kutsal toprakların hamisi yaparak imparatorluğa İslam dünyasının liderliği iddiasını kazandırdı.","Marj Dabiq made the Ottomans protectors of the Hijaz and holy lands, giving the empire its claim to leadership of the Islamic world.","Osmanlı'nın seyyar topçu bataryaları Memlûk süvari hattını mesafeden parçaladı — kılıç-vs-barut çağının sembolik çatışması.","",""
