"diplomacy_id","dynasty_id","partner_tr","partner_en","partner_type","relation_tr","relation_en","period","notes_tr","notes_en","narrative_tr","narrative_en","strategic_impact_tr","legacy_tr"
"11","30","Moğol İlhanlıları","Mongol Ilkhanate","İmparatorluk","Savaş","War","1260-1323","Ayn Câlût zaferi; Suriye sınır savaşları","Ain Jalut victory; Syrian border wars","Memlûk-İlhanlı çatışması 13. yüzyılın en belirleyici jeopolitik rekabetiydi. Ayn Câlût (1260) zaferi Moğol yayılmasını durdurarak İslam dünyasının Mısır-Suriye eksenini korudu. Ardından gelen onlarca yıllık sınır savaşları Suriye'yi harap etti ancak Memlûk hâkimiyetini pekiştirdi.","The Mamluk-Ilkhanid conflict was the most defining geopolitical rivalry of the 13th century. The Ain Jalut (1260) victory stopped Mongol expansion, preserving the Egypt-Syria axis. Decades of border wars devastated Syria but consolidated Mamluk dominance.","Moğol yayılmasının durdurulması Mısır ve Suriye'nin İslam dünyası olarak kalmasını güvence altına aldı.","Memlûkler 'İslam'ın koruyucusu' kimliğini bu zaferle kazandı; hilafeti himayelerine aldılar."
"12","30","Haçlı Devletleri","Crusader States","Krallık","Savaş","War","1250-1291","Akka'nın fethi (1291) ile Haçlı varlığının sonu","Fall of Acre (1291) ending Crusader presence","Memlûklerin 1291'de Akka'yı alması iki yüz yıllık Haçlı varlığını sona erdirdi. Kalan Haçlı kaleleri birer birer düşürülerek Levant'tan Hristiyan askeri varlığı tamamen temizlendi. Bu son zafer Memlûklerin İslam dünyasındaki prestijini zirveye taşıdı.","The Mamluk capture of Acre in 1291 ended two centuries of Crusader presence. Remaining Crusader fortresses were taken one by one, completely eliminating Christian military presence from the Levant. This final victory elevated Mamluk prestige in the Islamic world to its peak.","Haçlı devletlerinin ortadan kalkması Doğu Akdeniz'in kalıcı olarak İslam kontrolüne geçmesini sağladı.","'Haçlı meselesi'nin çözümü Memlûkleri İslam dünyasının tartışılmaz askeri gücü olarak tescilledi."
"13","91","Bizans İmparatorluğu","Byzantine Empire","İmparatorluk","Savaş","War","1048-1092","Malazgirt (1071); Anadolu kapılarının açılması","Manzikert (1071); opening of Anatolia","Selçuklu-Bizans çatışmasının doruk noktası 1071 Malazgirt Savaşı, İslam ve Türk tarihinin en belirleyici anlarından biridir. Bizans İmparatoru Romanos Diogenes'in esir alınması benzeri görülmemiş bir prestij zaferiydi. Bu savaş Anadolu kapılarını Türk göçüne açarak bugünkü Türkiye'nin demografik temellerini attı.","The Seljuq-Byzantine conflict's climax at the 1071 Battle of Manzikert was one of the most decisive moments in Islamic and Turkish history. The capture of Byzantine Emperor Romanos Diogenes was an unprecedented prestige victory. This battle opened Anatolia's gates to Turkish migration, laying the demographic foundations of modern Turkey.","Anadolu'nun Türk-İslam dünyasına açılması Bizans'ı kalıcı olarak zayıflattı.","Malazgirt, Türk millî kimliğinin kurucu anlatısında merkezi yer tutar."
"14","94","Bizans İmparatorluğu","Byzantine Empire","İmparatorluk","Savaş/Diplomasi","War/Diplomacy","1077-1243","I. ve II. Haçlı Seferleri; Myriokephalon; sınır anlaşmaları","First and Second Crusades; Myriokephalon; border treaties","Anadolu Selçukluları-Bizans ilişkisi, Haçlı Seferleri'nin gölgesinde savaş ve pragmatik diplomasi arasında salınıyordu. I. ve II. Haçlı Seferleri'nde Selçuklular hem Haçlılarla hem Bizans'la çatıştı. 1176 Myriokephalon Savaşı Bizans'ın Anadolu'yu geri alma umutlarını kesin olarak sona erdirdi.","The Anatolian Seljuq-Byzantine relationship oscillated between war and pragmatic diplomacy under the shadow of the Crusades. Seljuqs clashed with both Crusaders and Byzantium during the Crusades. The 1176 Battle of Myriokephalon definitively ended Byzantine hopes of recovering Anatolia.","Myriokephalon zaferi Türk Anadolu'sunun kalıcılığını kesinleştirdi.","Selçuklu-Bizans sınır ilişkisi Anadolu'nun kültürel kimliğini şekillendirdi."
"15","99","Papalık","Papacy","Dini Otorite","Diplomasi","Diplomacy","1245-1335","Moğol-Papalık ittifak girişimleri; Haçlı koordinasyonu","Mongol-Papal alliance attempts; Crusade coordination","Moğol İlhanlıları Papalık ile Haçlılara karşı ortak ittifak arayışına girdi — İslam'a karşı Hristiyan-Moğol koalisyonu kurma girişimi. Diplomatik mektuplaşmalar ve elçi teatisi yapıldıysa da somut bir askeri ittifak gerçekleşmedi. Bu ilişki Ortaçağ diplomasisinin karmaşık çok taraflı yapısını gösterir.","The Mongol Ilkhanids sought alliance with the Papacy against the Crusades — an attempt to form a Christian-Mongol coalition against Islam. Diplomatic correspondence and envoy exchanges occurred but no concrete military alliance materialized. This relationship demonstrates medieval diplomacy's complex multilateral nature.","Moğol-Papalık ittifakının gerçekleşmemesi Memlûklerin hayatta kalmasını kolaylaştırdı.","Bu başarısız ittifak girişimi Avrasya diplomasisinin çok kutuplu yapısını belgeler."
"16","99","Yuan Çin Hanedanı","Yuan Dynasty China","İmparatorluk","Diplomasi/Ticaret","Diplomacy/Trade","1260-1335","Moğol birliği; İpek Yolu ticaretinin altın çağı","Mongol unity; golden age of Silk Road trade","İlhanlılar ve Yuan Çin'i arasındaki ilişki 'Pax Mongolica'nın en verimli boyutuydu. Moğol imparatorluğunun Pekin'den Tebriz'e uzanan birliği İpek Yolu ticaretinin altın çağını yaşattı. Marco Polo bu dönemin en ünlü seyyahıdır. Ticaretin yanı sıra astronomi, tıp ve mimari bilgi transferi de gerçekleşti.","The relationship between the Ilkhanids and Yuan China was the most productive dimension of the 'Pax Mongolica.' The Mongol Empire's unity from Beijing to Tabriz created the golden age of Silk Road trade. Marco Polo is the era's most famous traveler. Beyond trade, transfers of astronomical, medical and architectural knowledge occurred.","İpek Yolu trafiği tarihinin en yoğun dönemine ulaştı; Tebriz dünyanın en büyük ticaret merkezlerinden biri oldu.","Doğu-Batı bilgi transferi; Çin astronomisi İslam dünyasına, İslam tıbbı Çin'e ulaştı."
"17","124","Bizans İmparatorluğu","Byzantine Empire","İmparatorluk","Savaş/Fetih","War/Conquest","1299-1453","Anadolu ve Balkan fetihleri; İstanbul'un fethi (1453)","Anatolian and Balkan conquests; Fall of Constantinople","Osmanlı-Bizans ilişkisi, küçük bir sınır beyliğinin bir dünya imparatorluğunu yutmasının hikâyesidir. Osmanlılar stratejik evlilikler, diplomasi ve kademeli fetihlerle Bizans'ı yavaş yavaş kuşattı. 1453'te İstanbul'un fethi bin yıllık Doğu Roma'nın sonunu getirerek Osmanlı'yı İslam dünyasının lider gücüne dönüştürdü.","The Ottoman-Byzantine relationship is the story of a small frontier principality swallowing a world empire. The Ottomans gradually encircled Byzantium through strategic marriages, diplomacy and incremental conquests. The 1453 conquest of Constantinople ended the thousand-year Eastern Roman Empire, transforming the Ottomans into the Islamic world's leading power.","İstanbul'un fethi Osmanlı'ya dünya ticaretinin kontrolünü ve İslam'ın liderliğini kazandırdı.","Osmanlılar Bizans idari geleneğini ve İstanbul'un kozmopolit mirasını devraldı."
"18","124","Habsburg İmparatorluğu","Habsburg Empire","İmparatorluk","Savaş/Diplomasi","War/Diplomacy","1526-1791","Viyana kuşatmaları; Macaristan; Karlofça Antlaşması","Sieges of Vienna; Hungary; Treaty of Karlowitz","Osmanlı-Habsburg rekabeti 16.-18. yüzyıl Avrupa siyasetinin ana ekseniydi. 1526 Mohács zaferiyle Macaristan'ı alan Osmanlılar Viyana kapılarına dayandı. 1683 II. Viyana Kuşatması'nın başarısızlığı Osmanlı'nın Avrupa'daki yayılma limitini belirledi. 1699 Karlofça Antlaşması ilk büyük Osmanlı toprak kaybını resmileştirdi.","The Ottoman-Habsburg rivalry was the main axis of 16th-18th century European politics. After the 1526 Mohacs victory annexing Hungary, the Ottomans reached Vienna's gates. The failure of the 1683 Second Siege of Vienna set the limit of Ottoman expansion in Europe. The 1699 Treaty of Karlowitz formalized the first major Ottoman territorial losses.","Viyana kuşatmalarının sonuçları Avrupa'nın siyasi haritasını kalıcı olarak şekillendirdi.","Karlofça Antlaşması Osmanlı'nın yayılmadan savunmaya geçişinin dönüm noktası."
"19","124","Venedik Cumhuriyeti","Republic of Venice","Şehir Devleti","Savaş/Ticaret","War/Trade","1416-1718","Deniz savaşları; Girit; Mora; ticaret imtiyazları (kapitülasyonlar)","Naval wars; Crete; Morea; trade capitulations","Osmanlı-Venedik ilişkisi savaş ve ticaretin iç içe geçtiği benzersiz bir dinamikti. Deniz savaşları ve fetihler (Girit, Mora) sürerken ticaret anlaşmaları (kapitülasyonlar) ekonomik bağları korudu. Venedik tüccarları İstanbul'da ayrıcalıklı bir konuma sahipti. Bu çelişkili ilişki Osmanlı'nın pragmatik dış politikasını yansıtır.","The Ottoman-Venetian relationship was a unique dynamic where war and trade intertwined. While naval wars and conquests (Crete, Morea) continued, trade agreements (capitulations) preserved economic ties. Venetian merchants held privileged status in Istanbul. This contradictory relationship reflects Ottoman pragmatic foreign policy.","Akdeniz'in kontrolü için deniz savaşları ve ticaret anlaşmaları eş zamanlı yürütüldü.","Kapitülasyon sistemi sonraki yüzyıllarda Osmanlı ekonomisinin yapısal sorunlarının kaynağı haline geldi."
"20","124","Fransa Krallığı","Kingdom of France","Krallık","İttifak/Diplomasi","Alliance/Diplomacy","1536-1798","Kanuni-I. François ittifakı; kapitülasyonlar; Napolyon Mısır seferi","Suleiman-Francis I alliance; capitulations; Napoleon's Egypt campaign","Kanuni-I. François ittifakı, İslam dünyası ile Hristiyan Avrupa arasındaki ilk resmi stratejik ittifaktır. Ortak düşman Habsburg'a karşı kurulan bu ittifak dinler arası siyasi pragmatizmin çarpıcı örneğidir. Kapitülasyon sistemiyle Fransız tüccarlara verilen ayrıcalıklar yüzyıllarca sürecek Osmanlı-Fransız ilişkilerinin temelini attı.","The Suleiman-Francis I alliance was the first formal strategic alliance between the Islamic world and Christian Europe. Built against the common Habsburg enemy, this alliance was a striking example of inter-religious political pragmatism. Privileges granted to French merchants through the capitulation system laid the foundation for centuries of Ottoman-French relations.","Habsburg'a karşı iki cephe açılması Avrupa güç dengesini değiştirdi.","Osmanlı-Fransız ittifakı uluslararası ilişkilerde 'dinin üstünde' stratejik pragmatizmin erken örneği."
"21","124","Rusya İmparatorluğu","Russian Empire","İmparatorluk","Savaş","War","1568-1918","13 Osmanlı-Rus savaşı; Kırım meselesi; Boğazlar","13 Ottoman-Russian wars; Crimean question; Straits","Osmanlı-Rus savaşları (1568-1918), İslam ile Hristiyan dünyası arasındaki en uzun soluklu ve en yıkıcı askeri çatışma serisidir. On üç büyük savaş, Kırım meselesi, Boğazlar sorunu ve 'Şark Meselesi' bu ilişkinin ana temaları oldu. Rusya'nın güneye inme politikası Osmanlı'nın en büyük stratejik tehdidiydi.","Ottoman-Russian wars (1568-1918) were the longest and most destructive military conflict series between the Islamic and Christian worlds. Thirteen major wars, the Crimean question, Straits issue and 'Eastern Question' were the main themes. Russia's southward expansion policy was the Ottomans' greatest strategic threat.","13 savaş Osmanlı'nın askeri ve ekonomik kaynaklarını tüketerek çöküş sürecini hızlandırdı.","Osmanlı-Rus rekabeti Karadeniz, Kafkasya ve Balkanlar'ın modern siyasi haritasını şekillendirdi."
"22","107","Portekiz Krallığı","Kingdom of Portugal","Krallık","Savaş/Ticaret","War/Trade","1507-1622","Hürmüz Boğazı kontrolü; Hint Okyanusu rekabeti","Control of Strait of Hormuz; Indian Ocean rivalry","Safevî-Portekiz çatışması Hint Okyanusu'nun kontrolü için verilen mücadelenin Basra Körfezi ayağıydı. Portekizliler 1507'de Hürmüz'ü alarak İran ticaretinin boğaz noktasını kontrol altına aldı. Şah Abbas 1622'de İngiliz yardımıyla Hürmüz'ü geri alarak bu tehdidi bertaraf etti.","The Safavid-Portuguese conflict was the Persian Gulf dimension of the struggle for Indian Ocean control. The Portuguese captured Hormuz in 1507, controlling the chokepoint of Iranian trade. Shah Abbas recaptured Hormuz in 1622 with English help, neutralizing this threat.","Hürmüz'ün kaybı ve geri alınması İran'ın deniz ticareti kontrolü açısından kritikti.","Safevî-İngiliz işbirliği Avrupa güçlerinin bölge içi rekabetleri kullanma stratejisinin erken örneği."
"23","107","Osmanlı İmparatorluğu","Ottoman Empire","İmparatorluk","Savaş/Diplomasi","War/Diplomacy","1514-1639","Çaldıran; Irak savaşları; Kasr-ı Şîrîn Antlaşması","Chaldiran; Iraq wars; Treaty of Zuhab","Osmanlı-Safevî rekabeti İslam dünyasının en derin mezhepsel bölünmesini yaratan stratejik çatışmadır. 1514 Çaldıran'dan 1639 Kasrı Şîrîn Antlaşması'na kadar süren savaşlar Sünnî-Şiî sınırını kalıcı olarak belirledi. Irak uzun süre iki güç arasında el değiştirdi. Bu rekabet bugünkü Ortadoğu'nun mezhepsel-siyasi haritasının temelini oluşturur.","The Ottoman-Safavid rivalry was the strategic conflict that created the Islamic world's deepest sectarian division. Wars from the 1514 Chaldiran to the 1639 Treaty of Zuhab permanently defined the Sunni-Shia boundary. Iraq long changed hands between the two powers. This rivalry forms the foundation of today's Middle East sectarian-political map.","Sünnî-Şiî sınırı askeri çatışmayla kalıcılaştı; Irak ve Kafkasya'nın kaderi bu rekabette belirlendi.","Çaldıran ve Kasrı Şîrîn'in çizdiği sınır bugünkü Türkiye-İran sınırının büyük bölümünü oluşturur."
"24","178","Britanya İmparatorluğu","British Empire","İmparatorluk","Savaş/Sömürge","War/Colonization","1757-1858","Plassey'den Hint Ayaklanması'na; Bâbürlü çöküşü","From Plassey to Indian Mutiny; Mughal collapse","Bâbürlü İmparatorluğu'nun İngiliz Doğu Hindistan Şirketi karşısındaki çöküşü, İslam dünyasının sömürgeleştirilmesinin en dramatik bölümüdür. 1757 Plassey'den 1858 Hint Ayaklanması'na kadar geçen süreçte Bâbürlü gücü kademeli olarak eritildi ve son imparator sürgüne gönderildi. Güney Asya'daki üç yüz yıllık İslam hâkimiyeti sona erdi.","The Mughal Empire's collapse before the British East India Company was the most dramatic chapter of the Islamic world's colonization. From Plassey in 1757 to the Indian Mutiny of 1858, Mughal power was gradually eroded and the last emperor sent into exile. Three centuries of Islamic dominance in South Asia ended.","Hindistan'ın sömürgeleşmesi İslam dünyasının ekonomik ve siyasi dengesini kalıcı olarak değiştirdi.","Bâbürlü çöküşü Güney Asya Müslümanlarında modernleşme ve reform hareketlerini tetikledi."
"25","178","Portekiz Krallığı","Kingdom of Portugal","Krallık","Savaş/Ticaret","War/Trade","1500-1600","Goa, Diu; Hint Okyanusu'nda Portekiz yerleşimi","Goa, Diu; Portuguese establishment in Indian Ocean","Portekiz'in 16. yüzyılda Goa ve Diu'yu alması Bâbürlü sahillerinde kalıcı Avrupa varlığının başlangıcıydı. Hint Okyanusu'ndaki Portekiz deniz gücü İslam dünyasının ticaret ağlarını tehdit ediyordu. Bâbürlüler karaya dayalı bir güç olarak deniz tehdidine yeterince yanıt veremedi.","Portugal's 16th-century capture of Goa and Diu marked the beginning of permanent European presence on Mughal coasts. Portuguese naval power in the Indian Ocean threatened Islamic trade networks. The Mughals, as a land-based power, could not adequately respond to the maritime threat.","Portekiz deniz gücü İslam'ın Hint Okyanusu ticaret tekelini kıran ilk Avrupa müdahalesi.","Deniz gücünün ihmal edilmesi Müslüman devletlerin Avrupa karşısındaki yapısal zafiyetini ortaya koydu."
"26","184","Portekiz Krallığı","Kingdom of Portugal","Krallık","Savaş","War","1509-1641","Malakka'nın kaybı; Açe direniş; Osmanlı'dan yardım","Loss of Malacca; Aceh resistance; Ottoman aid","Açe Sultanlığı'nın Portekiz'e karşı direniş yüzyılı, Güneydoğu Asya İslam'ının sömürgeciliğe ilk tepkisiydi. 1511'de Malakka'nın Portekizlere düşmesinden sonra Açe bölgenin İslam direniş merkezi haline geldi. Osmanlı İmparatorluğu'ndan askeri yardım (topçu ve uzman) talep edildi ve kısmen sağlandı — İslam dünyasının küresel dayanışmasının erken bir örneği.","The Aceh Sultanate's century of resistance against Portugal was Southeast Asian Islam's first response to colonialism. After Malacca's 1511 fall to the Portuguese, Aceh became the region's center of Islamic resistance. Military aid (artillery and specialists) was requested from the Ottoman Empire and partially provided — an early example of Islamic world solidarity.","Açe direniş stratejisi yerel kaynaklar ve Osmanlı desteğini birleştirdi.","Osmanlı-Açe bağlantısı İslam dünyasının küresel dayanışma ağının en uzak halkası."
"27","55","Britanya İmparatorluğu","British Empire","İmparatorluk","İttifak/Diplomasi","Alliance/Diplomacy","1915-1945","İbn Suûd-İngiliz ittifakı; petrol imtiyazları (ARAMCO)","Ibn Saud-British alliance; oil concessions (ARAMCO)","Suudi-İngiliz ittifakı 20. yüzyıl Ortadoğu'sunun şekillendirilmesinde belirleyici rol oynadı. İbn Suûd I. Dünya Savaşı'nda İngilizlerle işbirliği yaparak Osmanlı hakimiyetine karşı bağımsızlığını güçlendirdi. 1933 ARAMCO petrol imtiyazı Suudi Arabistan'ı dünya enerji politikasının merkezine taşıdı.","The Saudi-British alliance played a determining role in shaping 20th-century Middle East. Ibn Saud cooperated with the British in WWI, strengthening independence against Ottoman rule. The 1933 ARAMCO oil concession placed Saudi Arabia at the center of world energy politics.","Petrol keşfi Suudi Arabistan'ı bölgesel güçten küresel enerji aktörüne dönüştürdü.","ARAMCO anlaşması modern Ortadoğu'nun petrol-siyaset ilişkisinin kurucu metni."
