"dynasty_id","dynasty_name_tr","dynasty_name_ar","dynasty_name_en","parent_tribe_or_clan","ethnic_origin","region_primary","regions_all","capital_city","date_start_hijri","date_end_hijri","date_start_ce","date_end_ce","sub_branch","allied_dynasties","rival_dynasties","predecessor","successor","end_cause","migration_conquest_notes","chapter","notes","ethnic_tags","government_type","religious_orientation","importance_level","capital_lat","capital_lon","duration_years_approx","century_start","century_end","geographic_zone","region_center_lat","region_center_lon","region_bbox_n","region_bbox_s","region_bbox_e","region_bbox_w","governance_detail","religious_detail","military_system","economic_base","cultural_tags","historical_period","narrative_tr","narrative_en","key_contribution_tr","key_contribution_en","rise_reason_tr","fall_reason_tr","context_before_tr","context_after_tr"
"54","Âl Bû Saîd","Āl Bū Sa'īd","The Āl Bū Sa'īd","İbâdî aile","Arap","Umân (Maskat) ve Zengibar","Umân; Maskat; Zengibar; Doğu Afrika kıyıları; Bahreyn (geçici); Bender Abbas (geçici)","Maskat (Muscat); Zengibar (Sa'îd b. Sultān)","c. 1167","","c. 1754","devam ediyor","1. Birleşik sultanlık (c. 1754-1856); 2. Umân sultanlığı (1856-); 3. Zengibar sultanlığı (1856-1964, bkz. No. 65)","İngiltere (ittifak)","Vehhâbîler; İbâdî İmamlar (iç bölge)","Ya'rubîler","(devam ediyor — Umân Sultanlığı)","","Ahmed b. Saîd Suhâr valisi iken fiili yönetici oldu; İbâdî ulema tarafından İmam seçildi; Sa'îd b. Sultān Zengibar'a yerleşti (1242/1827); 1856'da sultanlık ikiye bölündü","Chapter 6: Arabian Peninsula","Bugün hâlâ hüküm süren hanedan; 1390/1970 Kābûs b. Sa'îd modernleşme; petrol zenginliği; İngiltere ile 1212/1798 ilk anlaşma; köle ticaretinin sona erdirilmesi","Arap","Hanedan/Beylik","","Normal","23.61","58.54","","","","Arap Yarımadası","22.0","57.0","26.5","17.0","60.0","39.0","Merkezi İmparatorluk","Hâricî İbâdî","Karma Profesyonel","Deniz Ticareti","Mimari","Sömürge","Âl Bû Saîd, 18. yüzyıldan bugüne Umân'ı yöneten ve Zengibar'da güçlü bir deniz ticaret imparatorluğu kuran hanedandır. Sultan Kâbûs döneminde (1970-2020) petrol geliriyle modern bir devlet inşa edildi.","The Al Bu Said have governed Oman from the 18th century to the present, establishing a powerful maritime trade empire in Zanzibar. Under Sultan Qaboos (1970-2020), a modern state was built with oil revenues.","Umân'ı dört asra yakın yöneterek Zengibar deniz imparatorluğundan modern petrol devletine dönüşümü gerçekleştirdiler.","They have governed Oman for nearly four centuries, achieving the transformation from the Zanzibar maritime empire to a modern oil state.","Ahmed b. Saîd'in İran müdahalesi sonrası otorite boşluğunu doldurarak iktidarı ele geçirmesi.","","Ya'rubî hanedanı iç savaş ve İran müdahalesiyle çökmüştü.","Âl Bû Saîd hanedanı günümüzde Umân Sultanlığı olarak hükmetmeye devam etmektedir; 1970 sonrası petrol zenginliği ve modernleşme programıyla bölgenin en istikrarlı devletlerinden birini oluşturdular."
"55","Âl Suûd (Suudi Hanedanı)","Āl Su'ūd","The Āl Su'ūd (Sa'ūd)","Aneze (ʿAnaza) kabilesi","Arap (Bedevî)","Necd (güneydoğu); sonra tüm Arabistan","Dir'iyye; Riyad; Necd; al-Ahsā; Hicaz; Asîr","Dir'iyye (1. devlet); Riyad (2. ve 3. devlet)","1148","","1735","devam ediyor","1. Birinci Suudi devleti (1148-1233/1735-1818); 2. İkinci Suudi devleti (1237-1309/1822-1891); 3. Üçüncü Suudi devleti (1319-/1902-)","İbn Abdülvehhâb (Vehhâbî hareket); İngiltere (geç dönem)","Osmanlılar; Kavalalı Mehmed Ali; Âl Reşîd; Şerif Hüseyin","","(devam ediyor — Suudi Arabistan Krallığı)","","1. devlet: İbrâhîm Paşa tarafından yıkıldı (1233/1818); 2. devlet: Âl Reşîd Riyad'ı aldı (1309/1891); 3. devlet: Abdülazîz İbn Suûd Riyad'ı geri aldı (1319/1902); Hicaz'ı fethetti (1344/1926)","Chapter 6: Arabian Peninsula","Vehhâbî hareketiyle yükseliş; 3 ayrı devlet dönemi; Kerbela baskını (1218/1803); petrol keşfi hayatı değiştirdi; yarımadanın 3/4'ünü kontrol; hiç sikke basılmamış iddiası tartışmalı","Arap","Hanlık","","Normal","24.63","46.72","","","","Arap Yarımadası","24.0","45.0","32.0","17.0","56.0","34.0","Merkezi İmparatorluk","Sünnî Hanbelî","Kabile Ordusu","Petrol","Mimari","Sömürge","Âl Suûd, Vehhâbî hareketiyle ittifak kurarak Arabistan'ı birleştiren ve üç ayrı devlet dönemi geçiren hanedandır. Abdülazîz İbn Suûd'un 20. yüzyıl başında krallığı yeniden kurması ve petrol keşfi, hanedanı küresel enerji siyasetinin merkezine taşıdı.","The Al Saud unified Arabia through their alliance with the Wahhabi movement, passing through three distinct state periods. Abdulaziz Ibn Saud's re-establishment of the kingdom in the early 20th century and the discovery of oil elevated the dynasty to the center of global energy politics.","Vehhâbî hareketiyle ittifak kurarak Arabistan'ı birleştiren ve küresel enerji siyasetinin merkezine yerleşen hanedandır.","They unified Arabia through their Wahhabi alliance and positioned themselves at the center of global energy politics.","Muhammed b. Abdülvehhâb ile kurulan dini-siyasi ittifak Necd'de güçlü bir meşruiyet temeli sağladı.","","Arabistan Yarımadası'nda merkezi bir otorite yoktu; çeşitli kabile beylikleri bağımsız hareket ediyordu.","Âl Suûd hanedanı günümüzde Suudi Arabistan Krallığı olarak hükmetmeye devam etmektedir; petrol keşfi ülkeyi küresel enerji politikasının merkezine taşıdı."
"56","Mekke Hâşimî Şerifleri ('Avn ailesi)","al-Ashrāf al-Hāshimiyyūn min Āl 'Awn","The Hāshimite Sharīfs of Mecca from the 'Awn Family","Hâşimî (Hz. Muhammed soyundan)","Arap (Şerif)","Mekke ve Hicaz; ardından Irak ve Ürdün","Mekke; Hicaz; Irak (Faysal kolu); Suriye (geçici); Ürdün (Abdullah kolu)","Mekke; Bağdat (Irak kolu); Amman (Ürdün kolu)","1243","","1827","devam ediyor (Ürdün)","1. Hicaz ana kolu (1243-1344/1827-1925); 2a. Suriye kolu (1338/1920, kısa); 2b. Irak kolu (1340-1377/1921-1958); 2c. Ürdün kolu (1339-/1921-)","İngiltere (Birinci Dünya Savaşı ittifakı)","Osmanlılar; Âl Suûd","Mekke'deki Zeyd kolu şerifleri","Hicaz'da Suudi fethi (1344/1925); Irak'ta cumhuriyet (1958); Ürdün'de devam","Hicaz: Suudi fethi; Irak: 1958 askeri darbesi","1916 Arap İsyanı; Hüseyin b. Ali Hicaz Kralı; Faysal Suriye Kralı (kısa); ardından Irak Kralı; Abdullah Ürdün Emiri → Kralı","Chapter 6: Arabian Peninsula","Hz. Muhammed'in doğrudan soyu; 10. yy'dan beri Mekke'de şerifler; Hüseyin 1924 hilafet iddiası başarısız; Ürdün'de Kral Hüseyin uzun ömürlü siyasetçi","Arap","Hilafet","","Normal","21.43","39.83","","","","Irak/Cezîre","29.3","47.0","30.0","28.5","48.5","46.5","Şehir Devleti","Sünnî Mâlikî","Kabile Ordusu","Deniz Ticareti","","Modern","Mekke Hâşimî Şerifleri, Hz. Muhammed'in doğrudan soyu olarak asırlardır Hicaz'ı yöneten ve 1916 Arap İsyanı'yla modern Ortadoğu'nun haritasını şekillendiren ailedir. Hicaz'ı Suudi fethi sonrası kaybetseler de Ürdün'de hâlâ hüküm sürüyorlar.","The Hashimite Sharifs of Mecca, as direct descendants of Prophet Muhammad, governed the Hijaz for centuries and shaped the modern Middle East map through the 1916 Arab Revolt. Though they lost the Hijaz to Saudi conquest, they still reign in Jordan.","Arap İsyanı'yla modern Ortadoğu haritasını şekillendirerek Ürdün'de hüküm süren bir hanedan bıraktılar.","They shaped the modern Middle East map through the Arab Revolt, leaving a reigning dynasty in Jordan.","Hz. Muhammed soyundan gelen meşruiyet ve İngiliz desteğiyle Osmanlı'ya karşı Arap İsyanı'nı başlattılar.","Hicaz'da Suudi fethi hanedanın ana topraklarını ortadan kaldırdı; Irak'ta 1958 darbesi krallığı yıktı.","Osmanlı İmparatorluğu'nun çöküş döneminde Arap milliyetçiliği yükseliyordu.","Suudiler Hicaz'ı birleştirdi; Hâşimîler Ürdün'de hüküm sürmeye devam etti; Irak cumhuriyet oldu."
"57","Âl Reşîd","Āl Rashīd","The Āl Rashīd","Şemmer konfederasyonu ('Abda boyu)","Arap (Bedevî)","Kuzey Necd (Ha'il)","Cebelişemmer; Ha'il; Necd (geçici); Vâdissirhân; Palmira'ya kadar (geçici)","Ha'il","1252","1340","1836","1921","","Osmanlı İmparatorluğu","Âl Suûd","Âl İbn 'Alî (Ha'il'deki akrabalar)","Suudi fethi (1340/1921)","Abdülazîz İbn Suûd Ha'il'i fethetti (1340/1921); aile Riyad'a sürgün","Abdullah b. Ali Suudi desteğiyle Ha'il'de iktidara geldi; Muhammed b. Abdullah Riyad'ı aldı (1309/1891); İbn Suûd'u Kuveyt'e sürdü","Chapter 6: Arabian Peninsula","Kervan ticareti zenginliği; şiddet ve kardeş kavgası tarihi; emirlerin çoğu suikast/savaşta öldü; hiç sikke basmadılar; Osmanlı desteğine rağmen İbn Suûd'a yenildiler","Arap","Hanedan/Beylik","","Normal","27.52","41.69","85","19","20","Arap Yarımadası","27.5","42.0","31.0","25.0","44.0","38.0","Kabile Konfederasyonu","Sünnî Hanbelî","Kabile Ordusu","Tarım","","Sömürge","Âl Reşîd, Ha'il merkezli Şemmer kabilesi beyleri olarak Necd'in kuzeyini yöneten ve Suudi ailesiyle uzun süreli bir rekabet yaşayan hanedandır. Kervan ticareti zenginliğiyle güçlenseler de İbn Suûd'un genişlemesi karşısında 1921'de tarih sahnesinden çekildiler.","The Al Rashid ruled northern Najd from Ha'il as chiefs of the Shammar tribe, engaging in a prolonged rivalry with the Saudi family. Though they prospered through caravan trade wealth, they withdrew from the historical stage in 1921 before Ibn Saud's expansion.","Necd'in kuzeyinde Suudi rakibine karşı güçlü bir alternatif emirlik oluşturdular.","They created a powerful alternative emirate in northern Najd against their Saudi rival.","Suudi desteğiyle Ha'il'de iktidara gelen aile, Osmanlı himayesiyle bağımsız konumunu pekiştirdi.","Abdülazîz İbn Suûd'un Ha'il'i fethetmesiyle hanedan sona erdi.","Necd'de Suudi-Reşîdî rekabeti bölgenin siyasi dinamiğini belirliyordu.","Suudi Arabistan Krallığı'nın kuruluşuyla Arabistan tek çatı altında birleşti."
"58","Mali Keita Kralları","Mulūk Mālī min Āl Kayāta","The Keita Kings of Mali","Keita boyu (Malinke/Mandinka)","Malinke (Mandinka / Siyah Afrika)","Batı Mali; Kuzey Gine; Gambiya; Senegal","Yukarı Nijer; Batı Mali; Kuzey Gine; Gambiya; Senegal; Timbuktu (geçici)","Nyane (Sankarani üzerinde, değişen)","627","c. 9. yy ortası","1230","c. 15. yy ortası","","Merînîler (Fas); Memlûkler (Mısır) — diplomatik ilişkiler","Soso Krallığı; Songay; Tuareglar","Gana Krallığı (Soninke); Soso Krallığı","Songay İmparatorluğu; Bambara devletleri (Segu/Karta)","Veraset kavgaları; Timbuktu'nun Tuareglara kaybı; Songay yükselişi; Malinke ana yurdu ile sınırlandı; 1081/1670 Bambara devletlerince gölgelendi","Sun Dyata (Mari Jata I) Soso hakimiyetine karşı Malinke mücadelesini yönetti; Mansa unvanı ile tüm Malinkelerin başı oldu; trans-Sahra altın ve köle ticareti","Chapter 7: West Africa","Gana'nın varisi; Mansa Musa I'in ünlü hac yolculuğu; İbn Battuta ziyareti; Timbuktu İslam öğretim merkezi; animist gelenekler İslam altında devam etti; senkretik İslam","Karışık/Bilinmeyen","Hanedan/Beylik","","Normal","11.4","-8.7","","","","Doğu/Batı Afrika","13.0","-5.0","18.0","8.0","2.0","-12.0","Merkezi İmparatorluk","Sünnî Mâlikî","Kabile Ordusu","Ticaret/Transit","Edebiyat","Timurlu","Mali Keita Kralları, Batı Afrika'nın en büyük ortaçağ imparatorluğunu kuran ve Mansa Mûsâ'nın efsanevi hac yolculuğuyla dünyaya tanınan Malinke hanedanıdır. Timbuktu'yu İslam dünyasının önemli ilim merkezlerinden birine dönüştürdüler; trans-Sahra altın ticaretinin kontrolü muazzam zenginlik getirdi.","The Keita Kings of Mali built West Africa's largest medieval empire, known to the world through Mansa Musa's legendary pilgrimage. They transformed Timbuktu into one of the Islamic world's important centers of learning; control of trans-Saharan gold trade brought immense wealth.","Mansa Mûsâ'nın hac yolculuğuyla tanınan Batı Afrika'nın en büyük ortaçağ imparatorluğunu kurarak Timbuktu'yu İslam ilim merkezi yaptılar.","They built West Africa's largest medieval empire, known for Mansa Musa's pilgrimage, making Timbuktu an Islamic center of learning.","Sun Dyata'nın Soso hakimiyetine karşı Malinke kabilelerini birleştirmesiyle kuruluş gerçekleşti.","Veraset kavgaları ve Timbuktu'nun Tuareglara kaybı; Songay İmparatorluğu'nun yükselişi.","Gana Krallığı'nın çöküşüyle Batı Afrika'da güç boşluğu oluşmuş, Soso Krallığı bölgesel hegemonya kurmuştu.","Songay İmparatorluğu Mali'nin mirasını devraldı; Timbuktu ilim merkezi olma özelliğini sürdürdü."
"59","Songay Kralları","Mulūk Sunghāy","The Kings of Songhay","Songay halkı (çeşitli kökenli)","Songay / Soninke (Askiya kolunda)","Nijer bükümü boyunca savan bölgesi","Gao (Kawkaw); Timbuktu; Cenne (Jenne); Senegal'e kadar batı; Hausaland'a kadar doğu","Gao (Kawkaw)","c. 3. yy","1000","c. 9. yy","1592","1. Za'lar veya Zuva'lar (Gao); 2. Si'ler veya Sonni'ler; 3. Askiya'lar","","Mali İmparatorluğu; Fas Sa'dîleri","Mali İmparatorluğu (hakimiyet)","Fas paşaları (Timbuktu); bölgesel parçalanma","Fas Sa'dî sultanı Ahmed el-Mansûr'un ordusu Gao'yu fethetti (999/1591); ateşli silahların üstünlüğü","Za Kosoy ilk Müslüman hükümdar (11. yy); Ali Golom Mali hakimiyetinden kurtuldu (c. 1275); Sonni Ali Büyük gerçek imparatorluk kurucusu; Askiya Muhammed Ture tahtı ele geçirdi (898/1493)","Chapter 7: West Africa","3 sülale dönemi; Sonni Ali Büyük fiili kurucu; Askiya Muhammed Ture Mekke haccı (901/1496); Timbuktu İslam merkezi; Fas fethi 999/1591; kukla Askiyalar kısa süre devam","Karışık/Bilinmeyen","Hanedan/Beylik","","Normal","16.27","-0.04","","","","Doğu/Batı Afrika","15.0","0.0","20.0","10.0","5.0","-5.0","Merkezi İmparatorluk","Sünnî (karışık)","Kabile Ordusu","Ticaret/Transit","UNESCO Miras;Mimari","Haçlı/Moğol","Songay Kralları, Mali İmparatorluğu'nun mirasını devralan ve Batı Afrika'nın en geniş topraklara sahip devletini kuran hanedandır. Askiya Muhammed'in Mekke haccı ve İslami reform programı, imparatorluğu İslam dünyasıyla bütünleştirdi. Fas Sa'dî sultanı Ahmed el-Mansûr'un ateşli silahlarla donatılmış ordusunun seferi bu dev imparatorluğu yıktı.","The Songhai Kings inherited the Mali Empire's legacy and built West Africa's most territorially extensive state. Askia Muhammad's Mecca pilgrimage and Islamic reform program integrated the empire with the Islamic world. The expedition by Moroccan Sa'did sultan Ahmad al-Mansur's army equipped with firearms destroyed this vast empire.","Batı Afrika'nın en geniş İslam imparatorluğunu kurarak Askiya Muhammed'in reformlarıyla bölgeyi İslam dünyasıyla bütünleştirdiler.","They built West Africa's most extensive Islamic empire, integrating the region with the Islamic world through Askia Muhammad's reforms.","Sonni Ali'nin askerî dehası Mali hakimiyetini kırarak bağımsız bir imparatorluk inşa etti.","Fas Sa'dî ordusunun ateşli silah üstünlüğüyle Gao'yu fethetmesi imparatorluğu yıktı.","Mali İmparatorluğu zayıflamış, Nijer bükümü boyunca yerel güçler bağımsızlaşıyordu.","Fas paşaları Timbuktu'da kısa süreli bir yönetim kurdu; bölge siyasi parçalanma dönemine girdi."
"60","Kenem ve Bornu (Borno) Hükümdarları","Salāṭīn Kānim wa-Burnū","The Rulers of Kanem and Bornu or Borno","Zağava (Sayfî/Sefuva hanedanı); Kānembu (Şeyh ailesi)","Zağava / Kanuri / Kānembu","Çad Gölü çevresi (doğuda Kenem, güneybatıda Bornu)","Kenem (Çad); Bornu (Kuzeydoğu Nijerya); Dikwa; Hausaland (geçici); Air (geçici)","(Kenem döneminde değişen); N'gazargamu (Qasr Gomo, Bornu); Maiduguri (modern)","c. 3. yy","","c. 9. yy","devam ediyor (yerel reis)","1. 'Kırmızı' (beyaz) Sayfî/Sefuva Kenem hükümdarları; 2. 'Siyah' Kenem sultanları; 3. Bornu'da yeni Sayfî Mai'ler; 4. Kānembu Şeyhler (Bornu ve Dikwa): (a) Bornu Şeyhları, (b) Dikwa Şeyhları/Mai'leri","Hafsîler (Tunus, diplomatik); Osmanlılar (ateşli silah ithalatı)","Bulala klanı; Hausa devletleri; Tuareglar; Fulani cihatçıları; Rābih b. Fadl Allāh","Zağava kabile beyleri","(Yerel reis olarak devam; İngiliz/Fransız/Alman sömürge yönetimi)","Sayfî Mai'ler 1262/1846'da sona erdi (Kānembu tarafından öldürüldü); Kānembu Şeyhler sömürge dönemine uyum sağladı; Rābih işgali (1311-19/1893-1901)","Dunama Dibalemi 655/1257'de Hafsîlere zürafa hediyesi; 14. yy sonunda Sayfîler Bulala baskısıyla Kenem'den Bornu'ya geçti; Ali Gazi yeni başkent N'gazargamu kurdu; İdris Alevma (16. yy sonu) Osmanlı tüfekçileri ithal etti","Chapter 7: West Africa","Batı Afrika'nın en uzun ömürlü İslam devletlerinden; 4 ana kol; Sayfî soy iddiası (Güney Arabistan Himyerî); trans-Sahra köle ticareti; İslam'ın bilinçli güçlendirilmesi (Şeriat uygulaması); sömürge bölünmesi (İngiltere/Fransa/Almanya)","Karışık/Bilinmeyen","Hanedan/Beylik","","Normal","11.85","13.16","","","","Doğu/Batı Afrika","13.0","14.0","18.0","10.0","20.0","8.0","Merkezi İmparatorluk","Sünnî Mâlikî","Kabile Ordusu","Ticaret/Transit","","Timurlu","Kenem ve Bornu, Çad Gölü çevresinde bin yılı aşkın süren ve Batı Afrika'nın en uzun ömürlü İslam devletlerinden birini oluşturan hanedandır. Trans-Sahra ticaret yollarının güney ucunu kontrol ederek Kuzey Afrika ile Sahra-altı dünyası arasında köprü görevi gördüler.","Kanem and Bornu constituted one of West Africa's longest-lived Islamic states around Lake Chad, spanning over a millennium. Controlling the southern terminus of trans-Saharan trade routes, they served as a bridge between North Africa and the sub-Saharan world.","Çad Gölü çevresinde bin yılı aşkın süren İslam devleti kurarak Sahra-altı Afrika'nın en istikrarlı siyasi yapısını oluşturdular.","They established an Islamic state lasting over a millennium around Lake Chad, creating sub-Saharan Africa's most stable political structure.","Zağava kabile beylerinin İslam'ı benimsemesi ve trans-Sahra ticaretinden güç kazanması.","Sayfî soy tükendi; Kānembu grubu iktidarı devraldı; İngiliz-Fransız sömürgeciliği son noktayı koydu.","Çad Gölü çevresinde çeşitli kabile yapıları rekabet halindeydi; İslam'ın benimsenmesi siyasi birliği güçlendirdi.","İngiliz ve Fransız sömürge yönetimi bölgeyi böldü; yerel sultanlar dolaylı yönetim altında varlığını sürdürdü."
"61","Hausaland Fulani Hükümdarları (Sokoto Sultanları/Halifeleri)","Umarā' al-Fulānī fī Bilād Hawsā / Salāṭīn Sukūtū","The Fulani Rulers in Hausaland, as Sultans and Caliphs of Sokoto","Fulani (Fulbe) / Tokolor","Fulani (Fulbe)","Kuzey Nijerya (Hausaland)","Sokoto; Gwandu; Hausaland (Kano, Katsina, Zaria vb.); Adamawa (Kuzey Kamerun)","Sokoto (Sakwato, 1224/1809 kuruldu); Gwandu (batı)","1218","","1804","devam ediyor (yerel sultan)","","","Hausa devletleri; Bornu","Hausa emirlikleri","(İngiliz sömürge yönetimi; dolaylı yönetim ile devam; Nijerya Cumhuriyeti içinde)","İngiliz kuvvetleri Sokoto'yu direniş görmeden aldı (1322/1904); dolaylı yönetim (indirect rule) ile sultan hattı sürdürüldü","Osman dan Fodio 1218/1804'te hicret ve cihat ilan etti; Fulani takipçilerle Hausa devletlerini birer birer fethetti; oğlu Muhammed Bello Sokoto'yu kurdu; Emîrü'l-Mü'minîn unvanı","Chapter 7: West Africa","Cihat hareketi; Sūfî tarikatlar (Kādiriye, Ticâniye) etkisi; köle ekonomisi; Osman dan Fodio'nun türbesi hac yeri; Adamawa'ya kadar Fulani emirlikleri; İngiliz dolaylı yönetimi; Nijerya Kuzeybatı Eyaleti","Karışık/Bilinmeyen","Sultanlık|Emirlik","","Normal","13.06","5.24","","","","Doğu/Batı Afrika","12.0","5.0","14.0","9.0","10.0","2.0","Teokratik Devlet","Sünnî Mâlikî","Kabile Ordusu","Tarım","Mimari","Sömürge","Sokoto Halifeliği, Osman dan Fodio'nun cihat hareketiyle kurulan ve Kuzey Nijerya'daki Hausa emirliklerini birleştiren Fulani hanedanıdır. Sûfî tarikatların etkisinde şekillenen bu hareket, İslam reformculuğunun Sahra-altı Afrika'daki en kapsamlı siyasi ifadesidir.","The Sokoto Caliphate was a Fulani dynasty founded through Uthman dan Fodio's jihad movement, unifying the Hausa emirates of northern Nigeria. Shaped by the influence of Sufi orders, this movement represents the most comprehensive political expression of Islamic reformism in sub-Saharan Africa.","Osman dan Fodio'nun cihat hareketiyle Sahra-altı Afrika'nın en kapsamlı İslam reform devletini kurdular.","They founded sub-Saharan Africa's most comprehensive Islamic reform state through Uthman dan Fodio's jihad movement.","Osman dan Fodio'nun 1804 hicret ve cihat ilanı Fulani kabilelerini birleştirdi.","İngiliz kuvvetlerinin 1903'te Sokoto'yu direniş görmeden alması hanedanın bağımsızlığını sona erdirdi.","Hausa emirliklerinde İslami reform talebi ve Fulani toplulukları arasındaki hoşnutsuzluk cihat hareketine zemin hazırlamıştı.","İngiliz dolaylı yönetimi altında sultan unvanı sembolik olarak devam etti; Kuzey Nijerya'nın İslami kimliği şekillendi."
"62","Kilva Sultanları","Salāṭīn Kilwa","The Sultans of Kilwa","1. Şîrâzî hanedanı; 2. Mehdâlî Seyyidler","Arap/Şîrâzî (iddia) / Svahili","Kilva adası (Tanzanya kıyısı)","Kilva (Kilwa Kisawani); Doğu Afrika kıyı ticareti","Kilva (Quiloa)","c. 346","c. 957","c. 10. yy","c. 1550","1. Şîrâzî hanedanı; 2. Mehdâlî Seyyidler","","Portekizliler","","Portekiz vasalları; ardından Umânlı kontrol; Bû Saîdîler (Zengibar)","Portekiz deniz hakimiyeti; Kilva ticaretinin çöküşü; son sultan Bû Saîdîler tarafından devrildi (1843)","Şîrâzî köken iddiası (İran Şiraz'dan) şüpheli; 12. yy'da tarih sahnesine net çıkış; 13. yy sonunda Mehdâlî Seyyidler iktidara geçti","Chapter 8: East Africa and the Horn of Africa","Doğu Afrika kıyı ticaretinin merkezi; sikke bastılar (özellikle Mehdâlîler); Kilva Kronikleri ana kaynak; tarihler yaklaşık; arkeolojik kazılar sikke buluntuları sağladı","Arap","Sultanlık","","Normal","-8.96","39.52","","","","Doğu/Batı Afrika","-8.5","39.5","-7.0","-10.5","40.5","38.5","Şehir Devleti","Sünnî Şâfiî","Karma Profesyonel","Deniz Ticareti","UNESCO Miras","Haçlı/Moğol","Kilva Sultanları, Doğu Afrika kıyısındaki uluslararası deniz ticaretinin merkezi olarak altın, fildişi ve köle ticaretini kontrol eden Svahili hanedanıdır. Şîrâzî köken iddiası tartışmalı olsa da Kilva'nın bastığı sikkeler Doğu Afrika'nın en erken parasal sisteminin kanıtıdır.","The Kilwa Sultans were a Swahili dynasty controlling gold, ivory, and slave trade as the center of international maritime commerce on the East African coast. While the Shirazi origin claim is debated, Kilwa's minted coins evidence East Africa's earliest monetary system.","Doğu Afrika kıyısında uluslararası deniz ticaretinin merkezini kurarak bölgenin en erken parasal sistemini oluşturdular.","They established the center of international maritime trade on the East African coast, creating the region's earliest monetary system.","Trans-okyanus ticaret ağının Doğu Afrika kıyısındaki stratejik konumu ve altın ticaretinin kontrolü.","Portekiz deniz hakimiyeti Kilva ticaretini çökertti; son sultanlar güçlerini yitirdi.","Hint Okyanusu ticaretinin gelişmesiyle Doğu Afrika kıyısında tüccar yerleşimleri yoğunlaşıyordu.","Portekiz ve ardından Umânlı kontrol Doğu Afrika kıyısının siyasi haritasını değiştirdi."
"63","Pate Nâbhânî Hükümdarları","Āl al-Nabhānī fī Bātā","The Nabhānī Rulers of Pate","Nâbhânî kabile grubu (Umân kökenli)","Arap (Umânlı) / Svahili","Pate adası (Kenya kıyısı, Lamu takımadası)","Pate; Vitu (kara tarafı); Lamu takımadası","Pate","600","1312","1203","1894","","Umân Ya'rubîleri/Bû Saîdîleri (tâbiiyet)","Portekizliler; Mezrûîler (Mombasa)","","İngiliz sömürge yönetimi (1312/1894)","İngiliz kontrolü altına girdi (1312/1894); son hükümdar İngiliz himayesinde","Umân'dan göç (Nâbhânî kabile grubu); 1109/1698 sonrası Umânlılar Mombasa'yı Portekizlilerden aldığında Zengibar'a gümrük ödediler","Chapter 8: East Africa and the Horn of Africa","700 yıl hüküm; olağanüstü uzun hükümdar listesi (Svahili sözlü tarih kaynağı); tarihler yaklaşık; Mwana Khadija kadın hükümdar (1177/1763)","Arap","Hanedan/Beylik","","Normal","-2.08","41.05","691","13","19","Doğu/Batı Afrika","-2.0","41.0","-1.0","-3.0","42.0","40.0","Şehir Devleti","Sünnî Şâfiî","Deniz Gücü","Deniz Ticareti","","Erken Modern","Pate Nâbhânî hanedanı, Kenya kıyısındaki Lamu takımadasında yedi asır boyunca hüküm sürerek Hint Okyanusu ticaret ağlarının Afrika ayağını temsil etti. Umânlı Arap kökenli bu aile, Svahili kültürüyle bütünleşerek kendine özgü bir kıyı İslam medeniyeti inşa etti.","The Nabhānī rulers of Pate governed for seven centuries on Kenya's Lamu archipelago, representing the African node of Indian Ocean trade networks. This Omani Arab dynasty integrated with Swahili culture to build a distinctive coastal Islamic civilization.","Hint Okyanusu ticaret ağında Doğu Afrika'nın en uzun süreli İslami yönetim geleneğini oluşturdular.","They established East Africa's longest-lasting Islamic governing tradition within the Indian Ocean trade network.","Pate adası, Hint Okyanusu ticaretinin önemli bir ara istasyonuydu; Umânlı tüccar aileleri bölgeye yerleşerek yerel Svahili toplulukla kaynaştı.","İngiliz sömürge yönetimi (1894) adanın bağımsızlığına son verdi; Svahili kültürel mirası modern Kenya'da yaşamaya devam etti.","Doğu Afrika kıyılarında çok sayıda küçük Svahili şehir-devleti birbirleriyle rekabet halindeydi; henüz tek bir hegemonik güç yoktu.","İngiliz sömürge düzeni tüm Doğu Afrika kıyı beyliklerini tek çatı altında topladı; Pate, Lamu bölgesinin küçük bir parçası haline geldi."
