person_id,dynasty_id,dynasty_name,sub_branch,full_name_original,short_name,kunya,nasab,laqab,title,role,reign_start_hijri,reign_end_hijri,reign_start_ce,reign_end_ce,death_date_hijri,death_date_ce,death_type,parent_tribe,region,predecessor_ruler,successor_ruler,relationship_to_prev,notes,historical_period,religious_detail,reign_duration_years,reign_order,death_category,geographic_zone,ethnic_tags,governance_detail,capital_lat,capital_lon,century_active,is_founder,is_last_ruler,succession_type
2-007,2,Emevî Halifeleri,Marwānids,Abū Ayyūb Sulaymān b. 'Abd al-Malik,Sulaymān,Abū Ayyūb,b. 'Abd al-Malik,,Khalīfa,Halife,96,99,715,717,99,717,d.,Quraysh - Umayya,Suriye - Şam,al-Walīd I,'Umar II,kardeşi,Sikke bastı (o),Emevî,Sünnî (erken İslam),2,7,Doğal Ölüm,Mısır/Şam,Arap,Merkezi İmparatorluk,33.51,36.29,8,Hayır,Hayır,Kardeş
2-008,2,Emevî Halifeleri,Marwānids,Abū Hafs 'Umar (II) b. 'Abd al-'Azīz,'Umar II,Abū Hafs,b. 'Abd al-'Azīz,,Khalīfa,Halife,99,101,717,720,101,720,d.,Quraysh - Umayya,Suriye - Şam,Sulaymān,Yazīd II,kuzen (Marwān I'in torunu),Sikke bastı (o); dindar halife olarak bilinir,Emevî,Sünnî (erken İslam),3,8,Doğal Ölüm,Mısır/Şam,Arap,Merkezi İmparatorluk,33.51,36.29,8,Hayır,Hayır,Torun
2-009,2,Emevî Halifeleri,Marwānids,Abū Khālid Yazīd II b. 'Abd al-Malik,Yazīd II,Abū Khālid,b. 'Abd al-Malik,,Khalīfa,Halife,101,105,720,724,105,724,d.,Quraysh - Umayya,Suriye - Şam,'Umar II,Hishām,'Abd al-Malik'in oğlu,Sikke bastı (o),Emevî,Sünnî (erken İslam),4,9,Doğal Ölüm,Mısır/Şam,Arap,Merkezi İmparatorluk,33.51,36.29,8,Hayır,Hayır,Babadan Oğula
2-010,2,Emevî Halifeleri,Marwānids,Abu 'l-Walīd Hishām b. 'Abd al-Malik,Hishām,Abu 'l-Walīd,b. 'Abd al-Malik,,Khalīfa,Halife,105,125,724,743,125,743,d.,Quraysh - Umayya,Suriye - Şam,Yazīd II,al-Walīd II,kardeşi,Hanedanın en büyük üç halifesinden biri; yaklaşık yirmi yıl hüküm sürdü; sikke bastı (o),Emevî,Sünnî (erken İslam),19,10,Doğal Ölüm,Mısır/Şam,Arap,Merkezi İmparatorluk,33.51,36.29,8,Hayır,Hayır,Kardeş
2-011,2,Emevî Halifeleri,Marwānids,Abu 'l-'Abbās al-Walīd II b. Yazīd II,al-Walīd II,Abu 'l-'Abbās,b. Yazīd II,,Khalīfa,Halife,125,126,743,744,126,744,k.,Quraysh - Umayya,Suriye - Şam,Hishām,Yazīd III,yeğen (Yazīd II'nin oğlu),Sikke bastı (o),Emevî,Sünnî (erken İslam),1,11,Öldürüldü,Mısır/Şam,Arap,Merkezi İmparatorluk,33.51,36.29,8,Hayır,Hayır,Babadan Oğula
2-012,2,Emevî Halifeleri,Marwānids,Abū Khālid Yazīd III b. al-Walīd I,Yazīd III,Abū Khālid,b. al-Walīd I,,Khalīfa,Halife,126,126,744,744,126,744,d.,Quraysh - Umayya,Suriye - Şam,al-Walīd II,Ibrāhīm,amca oğlu (al-Walīd I'in oğlu),Sikke bastı (o),Emevî,Sünnî (erken İslam),0,12,Doğal Ölüm,Mısır/Şam,Arap,Merkezi İmparatorluk,33.51,36.29,8,Hayır,Hayır,Babadan Oğula
2-013,2,Emevî Halifeleri,Marwānids,Ibrāhīm b. al-Walīd I,Ibrāhīm,,b. al-Walīd I,,Khalīfa,Halife,126,127,744,744,132,750,k. 132/750,Quraysh - Umayya,Suriye - Şam,Yazīd III,Marwān II,kardeşi,Sikke bastı (o); 132/750'de Abbâsîler tarafından öldürüldü,Emevî,Sünnî (erken İslam),0,13,Öldürüldü,Mısır/Şam,Arap,Merkezi İmparatorluk,33.51,36.29,8,Hayır,Hayır,Kardeş
2-014,2,Emevî Halifeleri,Marwānids,"Abū 'Abd al-Malik Marwān II b. Muhammad, al-Ja'dī al-Himār",Marwān II,Abū 'Abd al-Malik,b. Muhammad,al-Ja'dī al-Himār,Khalīfa,Halife,127,132,744,750,132,750,k. (killed in Abbasid revolution),Quraysh - Umayya,Suriye - Şam,Ibrāhīm,— (Abbâsî devri başlar),Marwān I'in torununun oğlu,Son Emevî halifesi; sikke bastı (o),Emevî,Sünnî (erken İslam),6,14,Öldürüldü,Mısır/Şam,Arap,Merkezi İmparatorluk,33.51,36.29,8,Hayır,Evet,Babadan Oğula
3-001,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"'Abdallāh b. Muhammad al-Imām, Abu 'l-'Abbās al-Saffāh",al-Saffāh,Abu 'l-'Abbās,b. Muhammad al-Imām,al-Saffāh,Khalīfa / Amīr al-Mu'minīn,Halife,132,136,749,754,,,,Quraysh - Hāshim,Irak - Bağdat,—,al-Mansūr,kardeşi,İlk Abbâsî halifesi; sikke bastı (o),Erken Abbâsî,Sünnî Hanefî,5,1,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,8,Evet,Hayır,Kardeş
3-002,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"'Abdallāh b. Muhammad al-Imām, Abū Ja'far al-Mansūr",al-Mansūr,Abū Ja'far,b. Muhammad al-Imām,al-Mansūr,Khalīfa / Amīr al-Mu'minīn,Halife,136,158,754,775,,,,Quraysh - Hāshim,Irak - Bağdat,al-Saffāh,al-Mahdī,kardeşi,Bağdat'ı kurdu; sikke bastı (o),Erken Abbâsî,Sünnî Hanefî,21,2,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,8,Hayır,Hayır,Kardeş
3-003,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"Muhammad b. al-Mansūr, Abū 'Abdallāh al-Mahdī",al-Mahdī,Abū 'Abdallāh,b. al-Mansūr,al-Mahdī,Khalīfa / Amīr al-Mu'minīn,Halife,158,169,775,785,,,,Quraysh - Hāshim,Irak - Bağdat,al-Mansūr,al-Hādī,oğlu,Sikke bastı (o),Erken Abbâsî,Sünnî Hanefî,10,3,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,8,Hayır,Hayır,Babadan Oğula
3-004,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"Mūsā b. al-Mahdī, Abū Muhammad al-Hādī",al-Hādī,Abū Muhammad,b. al-Mahdī,al-Hādī,Khalīfa / Amīr al-Mu'minīn,Halife,169,170,785,786,,,,Quraysh - Hāshim,Irak - Bağdat,al-Mahdī,al-Rashīd,oğlu,Sikke bastı (o),Erken Abbâsî,Sünnî Hanefî,1,4,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,8,Hayır,Hayır,Babadan Oğula
3-005,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"Hārūn b. al-Mahdī, Abū Ja'far al-Rashīd",al-Rashīd,Abū Ja'far,b. al-Mahdī,al-Rashīd,Khalīfa / Amīr al-Mu'minīn,Halife,170,193,786,809,,,,Quraysh - Hāshim,Irak - Bağdat,al-Hādī,al-Amīn,kardeşi,Sikke bastı (o); Bizans'a karşı seferler,Erken Abbâsî,Sünnî Hanefî,23,5,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,8,Hayır,Hayır,Kardeş
3-006,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"Muhammad b. al-Rashīd, Abū Mūsā al-Amīn",al-Amīn,Abū Mūsā,b. al-Rashīd,al-Amīn,Khalīfa / Amīr al-Mu'minīn,Halife,193,198,809,813,,,,Quraysh - Hāshim,Irak - Bağdat,al-Rashīd,al-Ma'mūn,oğlu,Sikke bastı (o); iç savaşta öldürüldü,Erken Abbâsî,Sünnî Hanefî,4,6,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,9,Hayır,Hayır,Babadan Oğula
3-007,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"'Abdallāh b. al-Rashīd, Abū Ja'far al-Ma'mūn",al-Ma'mūn,Abū Ja'far,b. al-Rashīd,al-Ma'mūn,Khalīfa / Amīr al-Mu'minīn,Halife,198,218,813,833,,,,Quraysh - Hāshim,Irak - Bağdat,al-Amīn,al-Mu'tasim,kardeşi,Sikke bastı (o); Bizans seferleri; ilmî faaliyetler,Erken Abbâsî,Sünnî Hanefî,20,7,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,9,Hayır,Hayır,Kardeş
3-008,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"Ibrāhīm b. al-Mahdī, in Baghdad",Ibrāhīm b. al-Mahdī,,b. al-Mahdī,,Khalīfa / Amīr al-Mu'minīn,Halife,201,203,817,819,,,,Quraysh - Hāshim,Irak - Bağdat,—,—,rakip halife Bağdat'ta,Bağdat'ta rakip halife; ö. 224/839,Erken Abbâsî,Sünnî Hanefî,2,8,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,9,Hayır,Hayır,Darbe/Gasp
3-009,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"Muhammad b. al-Rashīd, Abū Ishāq al-Mu'tasim",al-Mu'tasim,Abū Ishāq,b. al-Rashīd,al-Mu'tasim,Khalīfa / Amīr al-Mu'minīn,Halife,218,227,833,842,,,,Quraysh - Hāshim,Irak - Bağdat,al-Ma'mūn,al-Wāthiq,kardeşi,Sikke bastı (o); Sāmarrā şehrini kurdu; Bizans seferleri,Erken Abbâsî,Sünnî Hanefî,9,9,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,9,Hayır,Hayır,Kardeş
3-010,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"Hārūn b. al-Mu'tasim, Abū Ja'far al-Wāthiq",al-Wāthiq,Abū Ja'far,b. al-Mu'tasim,al-Wāthiq,Khalīfa / Amīr al-Mu'minīn,Halife,227,232,842,847,,,,Quraysh - Hāshim,Irak - Bağdat,al-Mu'tasim,al-Mutawakkil,oğlu,Sikke bastı (o),Erken Abbâsî,Sünnî Hanefî,5,10,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,9,Hayır,Hayır,Babadan Oğula
3-011,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"Ja'far b. al-Mu'tasim, Abu 'l-Fadl al-Mutawakkil",al-Mutawakkil,Abu 'l-Fadl,b. al-Mu'tasim,al-Mutawakkil,Khalīfa / Amīr al-Mu'minīn,Halife,232,247,847,861,,,,Quraysh - Hāshim,Irak - Bağdat,al-Wāthiq,al-Muntasir,kardeşi,Sikke bastı (o),Erken Abbâsî,Sünnî Hanefî,14,11,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,9,Hayır,Hayır,Kardeş
3-012,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"Muhammad b. al-Mutawakkil, Abū Ja'far al-Muntasir",al-Muntasir,Abū Ja'far,b. al-Mutawakkil,al-Muntasir,Khalīfa / Amīr al-Mu'minīn,Halife,247,248,861,862,,,,Quraysh - Hāshim,Irak - Bağdat,al-Mutawakkil,al-Musta'īn,oğlu,Sikke bastı (o),Erken Abbâsî,Sünnî Hanefî,1,12,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,9,Hayır,Hayır,Babadan Oğula
3-013,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"Ahmad b. Muhammad, Abu 'l-'Abbās al-Musta'īn",al-Musta'īn,Abu 'l-'Abbās,b. Muhammad,al-Musta'īn,Khalīfa / Amīr al-Mu'minīn,Halife,248,252,862,866,,,,Quraysh - Hāshim,Irak - Bağdat,al-Muntasir,al-Mu'tazz,,Sikke bastı (o),Erken Abbâsî,Sünnî Hanefî,4,13,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,9,Hayır,Hayır,
3-014,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"Muhammad b. al-Mutawakkil, Abū 'Abdallāh al-Mu'tazz",al-Mu'tazz,Abū 'Abdallāh,b. al-Mutawakkil,al-Mu'tazz,Khalīfa / Amīr al-Mu'minīn,Halife,252,255,866,869,,,,Quraysh - Hāshim,Irak - Bağdat,al-Musta'īn,al-Muhtadī,oğlu,Sikke bastı (o),Erken Abbâsî,Sünnî Hanefî,3,14,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,9,Hayır,Hayır,Babadan Oğula
3-015,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"Muhammad b. al-Wāthiq, Abū Ishāq al-Muhtadī",al-Muhtadī,Abū Ishāq,b. al-Wāthiq,al-Muhtadī,Khalīfa / Amīr al-Mu'minīn,Halife,255,256,869,870,,,,Quraysh - Hāshim,Irak - Bağdat,al-Mu'tazz,al-Mu'tamid,,Sikke bastı (o),Erken Abbâsî,Sünnî Hanefî,1,15,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,9,Hayır,Hayır,
3-016,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"Ahmad b. al-Mutawakkil, Abu 'l-'Abbās al-Mu'tamid",al-Mu'tamid,Abu 'l-'Abbās,b. al-Mutawakkil,al-Mu'tamid,Khalīfa / Amīr al-Mu'minīn,Halife,256,279,870,892,,,,Quraysh - Hāshim,Irak - Bağdat,al-Muhtadī,al-Mu'tadid,oğlu,Sikke bastı (o),Erken Abbâsî,Sünnî Hanefî,22,16,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,9,Hayır,Hayır,Babadan Oğula
3-017,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"Ahmad b. al-Muwaffaq, Abu 'l-'Abbās al-Mu'tadid",al-Mu'tadid,Abu 'l-'Abbās,b. al-Muwaffaq,al-Mu'tadid,Khalīfa / Amīr al-Mu'minīn,Halife,279,289,892,902,,,,Quraysh - Hāshim,Irak - Bağdat,al-Mu'tamid,al-Muktafī,yeğen,Sikke bastı (o),Erken Abbâsî,Sünnî Hanefî,10,17,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,9,Hayır,Hayır,Amca/Yeğen
3-018,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"'Alī b. al-Mu'tadid, Abū Muhammad al-Muktafī",al-Muktafī,Abū Muhammad,b. al-Mu'tadid,al-Muktafī,Khalīfa / Amīr al-Mu'minīn,Halife,289,295,902,908,,,,Quraysh - Hāshim,Irak - Bağdat,al-Mu'tadid,al-Muqtadir,oğlu,Sikke bastı (o),Erken Abbâsî,Sünnî Hanefî,6,18,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,10,Hayır,Hayır,Babadan Oğula
3-019,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"Ja'far b. al-Mu'tadid, Abu 'l-Fadl al-Muqtadir, first reign",al-Muqtadir (1. saltanat),Abu 'l-Fadl,b. al-Mu'tadid,al-Muqtadir,Khalīfa / Amīr al-Mu'minīn,Halife,295,296,908,908,,,,Quraysh - Hāshim,Irak - Bağdat,al-Muktafī,Ibn al-Mu'tazz,kardeşi,Sikke bastı (o); birinci saltanat,Erken Abbâsî,Sünnî Hanefî,0,19,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,10,Hayır,Hayır,Kardeş
3-020,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"Ibn al-Mu'tazz al-Murtadā al-Muntasif, in Baghdad",Ibn al-Mu'tazz,,,al-Murtadā al-Muntasif,Khalīfa / Amīr al-Mu'minīn,Halife,296,296,908,908,,,,Quraysh - Hāshim,Irak - Bağdat,al-Muqtadir,al-Muqtadir (2.),rakip halife,Bağdat'ta kısa süreli rakip halife,Erken Abbâsî,Sünnî Hanefî,0,20,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,10,Hayır,Hayır,Darbe/Gasp
3-021,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"Ja'far al-Muqtadir, second reign",al-Muqtadir (2. saltanat),Abu 'l-Fadl,b. al-Mu'tadid,al-Muqtadir,Khalīfa / Amīr al-Mu'minīn,Halife,296,317,908,929,,,,Quraysh - Hāshim,Irak - Bağdat,Ibn al-Mu'tazz,al-Qāhir,,İkinci saltanat,Erken Abbâsî,Sünnî Hanefî,21,21,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,10,Hayır,Hayır,
3-022,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"Muhammad b. al-Mu'tadid, Abū Mansūr al-Qāhir, first reign",al-Qāhir (1. saltanat),Abū Mansūr,b. al-Mu'tadid,al-Qāhir,Khalīfa / Amīr al-Mu'minīn,Halife,317,317,929,929,,,,Quraysh - Hāshim,Irak - Bağdat,al-Muqtadir,al-Muqtadir (3.),kardeşi,Bağdat'ta; birinci saltanat,Erken Abbâsî,Sünnî Hanefî,0,22,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,10,Hayır,Hayır,Kardeş
3-023,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"Ja'far al-Muqtadir, third reign",al-Muqtadir (3. saltanat),Abu 'l-Fadl,b. al-Mu'tadid,al-Muqtadir,Khalīfa / Amīr al-Mu'minīn,Halife,317,320,929,932,,,,Quraysh - Hāshim,Irak - Bağdat,al-Qāhir,al-Qāhir (2.),,Üçüncü saltanat,Erken Abbâsî,Sünnî Hanefî,3,23,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,10,Hayır,Hayır,
3-024,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"Muhammad al-Qāhir, second reign",al-Qāhir (2. saltanat),Abū Mansūr,b. al-Mu'tadid,al-Qāhir,Khalīfa / Amīr al-Mu'minīn,Halife,320,322,932,934,,,,Quraysh - Hāshim,Irak - Bağdat,al-Muqtadir,al-Rādī,,İkinci saltanat; ö. 339/950,Erken Abbâsî,Sünnî Hanefî,2,24,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,10,Hayır,Hayır,
3-025,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"Ahmad b. al-Muqtadir, Abu 'l-'Abbās al-Rādī",al-Rādī,Abu 'l-'Abbās,b. al-Muqtadir,al-Rādī,Khalīfa / Amīr al-Mu'minīn,Halife,322,329,934,940,,,,Quraysh - Hāshim,Irak - Bağdat,al-Qāhir,al-Muttaqī,oğlu,Sikke bastı (o),Erken Abbâsî,Sünnî Hanefî,6,25,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,10,Hayır,Hayır,Babadan Oğula
3-026,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"Ibrāhīm b. al-Muqtadir, Abū Ishāq al-Muttaqī",al-Muttaqī,Abū Ishāq,b. al-Muqtadir,al-Muttaqī,Khalīfa / Amīr al-Mu'minīn,Halife,329,333,940,944,,,,Quraysh - Hāshim,Irak - Bağdat,al-Rādī,al-Mustakfī,kardeşi,Ö. 357/968,Erken Abbâsî,Sünnî Hanefî,4,26,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,10,Hayır,Hayır,Kardeş
3-027,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"'Abdallāh b. al-Muktafī, Abu 'l-Qāsim al-Mustakfī",al-Mustakfī,Abu 'l-Qāsim,b. al-Muktafī,al-Mustakfī,Khalīfa / Amīr al-Mu'minīn,Halife,333,334,944,946,,,,Quraysh - Hāshim,Irak - Bağdat,al-Muttaqī,al-Mutī',,Ö. 338/949; sikke bastı (o),Erken Abbâsî,Sünnî Hanefî,2,27,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,10,Hayır,Hayır,
3-028,3,Abbâsî Halifeleri,Irak ve Bağdat halifeleri,"al-Fadl b. al-Muqtadir, Abu 'l-Qāsim al-Mutī'",al-Mutī',Abu 'l-Qāsim,b. al-Muqtadir,al-Mutī',Khalīfa / Amīr al-Mu'minīn,Halife,334,363,946,974,,,,Quraysh - Hāshim,Irak - Bağdat,al-Mustakfī,al-Tā'i',,Ö. 364/974; Büveyhîler dönemi; sikke bastı (o),Erken Abbâsî,Sünnî Hanefî,28,28,Bilinmiyor,Irak/Cezîre,Arap,Merkezi İmparatorluk,33.31,44.37,10,Hayır,Hayır,
